peso,stat,giorno,t_2026,clim_1961_1990,clim_1991_2020,t_2003,vs_1961_1990,vs_1991_2020,vs_2003
pop,max,23,32.60638484769922,24.98970426533608,26.699067984306623,30.842762632862364,7.616680582363138,5.9073168633925945,1.7636222148368539
pop,max,24,31.67165961728652,24.934344610844125,26.670733432979283,31.796888576802004,6.737315006442394,5.000926184307236,-0.12522895951548563
pop,max,25,31.863194959096624,25.310072654986087,26.62912042546922,32.10385278767845,6.553122304110538,5.234074533627403,-0.24065782858182416
pop,max,26,32.2667729881686,25.560108707955767,26.887786548423833,31.42159000197872,6.706664280212831,5.378986439744764,0.8451829861898759
pop,max,27,33.20325862170258,25.473636607013212,27.219031072897035,30.22092190886582,7.729622014689369,5.984227548805546,2.982336712836762
pop,max,28,34.02385519480798,25.577779644117392,27.222777176484446,28.52916225178599,8.446075550690587,6.801078018323533,5.494692943021988
pop,max,29,33.944620663373065,25.50927211052341,26.963303887371996,28.847608728125937,8.435348552849657,6.981316776001069,5.097011935247128
pop,max,30,32.81619823521018,25.601798555309717,27.310628686396342,29.896135369283336,7.214399679900463,5.505569548813838,2.9200628659268446
pop,mean,1,22.295337926473124,17.378081389181997,18.457994322782536,20.668197347634973,4.917256537291127,3.837343603690588,1.6271405788381514
pop,mean,2,20.845102974513967,17.450926625018518,18.846981767533592,20.65767592231385,3.3941763494954493,1.9981212069803753,0.18742705220011757
pop,mean,3,20.55109951877805,17.628610117005582,19.04880596239685,20.879761272226048,2.9224894017724665,1.502293556381197,-0.3286617534479994
pop,mean,4,20.213799296146455,17.60973505261043,19.145518726851705,21.646414156923868,2.604064243536026,1.0682805692947497,-1.432614860777413
pop,mean,5,19.9977702288344,17.627625262784832,19.23540716743158,22.579350132057552,2.370144966049569,0.762363061402823,-2.581579903223151
pop,mean,6,20.49297449594396,17.708931929379112,19.294557063085367,23.09424855305657,2.7840425665648496,1.1984174328585944,-2.601274057112608
pop,mean,7,21.43957451610539,17.8450785696749,19.588461820275473,23.462897738337613,3.5944959464304915,1.8511126958299187,-2.0233232222322215
pop,mean,8,22.39653533686031,17.935532781602195,19.87178296771503,23.86536891387979,4.461002555258116,2.524752369145279,-1.4688335770194811
pop,mean,9,22.515873109096265,18.03924549506014,20.063139962862138,24.413196531416872,4.476627614036126,2.4527331462341273,-1.897323422320607
pop,mean,10,21.667555754779947,18.353078435908962,20.331717727764854,25.23297778236857,3.314477318870985,1.3358380270150931,-3.5654220275886246
pop,mean,11,20.780752171654036,18.606367573504254,20.27430522099047,26.04608502521321,2.174384598149782,0.506446950663566,-5.265332853559173
pop,mean,12,20.83828788826396,18.722221120757627,20.22680005595833,26.778292032818896,2.1160667675063323,0.611487832305631,-5.940004144554937
pop,mean,13,22.467104975504427,18.999801258224416,20.276277116500065,27.107782025015137,3.4673037172800107,2.1908278590043615,-4.64067704951071
pop,mean,14,23.047213114915237,19.353807844659734,20.32911281373282,26.8652157280129,3.6934052702555036,2.7181003011824174,-3.8180026130976614
pop,mean,15,22.96185604286493,19.387208404853066,20.658778349702075,26.4377003632609,3.5746476380118644,2.303077693162855,-3.475844320395968
pop,mean,16,23.239527821405176,19.02743290494573,21.081300951634883,25.79455299643612,4.212094916459446,2.158226869770292,-2.555025175030945
pop,mean,17,24.570853356200736,19.027349409256413,21.133318397091383,24.247537324233875,5.543503946944323,3.437534959109353,0.3233160319668613
pop,mean,18,25.639975511054327,18.97845424021006,21.300444555461013,23.870144718812885,6.661521270844268,4.339530955593315,1.769830792241443
