regione,peso,stat,n_anni_6190,n_anni_9120,media_1961_1990,media_1991_2020,t_2003,t_2026,mese,giorni,vs_1961_1990,vs_1991_2020,vs_2003
Marche,area,max,30,30,18.919183074116496,19.870068269069826,22.813414185494373,20.743893069056696,5,1-31,1.8247099949402,0.8738247999868705,-2.0695211164376772
Marche,area,mean,30,30,14.606398632112647,15.54842591542064,17.989818096683074,16.471948110667025,5,1-31,1.865549478554378,0.9235221952463846,-1.5178699860160485
Marche,area,min,30,30,9.827487626176069,10.72569508308213,12.674171484267402,11.554333024747416,5,1-31,1.7268453985713474,0.8286379416652867,-1.1198384595199862
Marche,pop,max,30,30,19.587903817501054,20.61186526458765,23.276111588050792,21.69450795971577,5,1-31,2.1066041422147173,1.082642695128122,-1.5816036283350208
Marche,pop,mean,30,30,15.741369584378338,16.746448091936564,18.982284800857574,17.756108885844604,5,1-31,2.014739301466266,1.00966079390804,-1.2261759150129699
Marche,pop,min,30,30,11.36041178735756,12.320094911150838,14.11534437925548,13.150209832020018,5,1-31,1.789798044662458,0.83011492086918,-0.9651345472354631
Molise,area,max,30,30,18.937344823477048,19.724457422916274,22.753149594040856,20.262393851651627,5,1-31,1.325049028174579,0.5379364287353532,-2.4907557423892293
Molise,area,mean,30,30,14.367163395966703,15.113503504279539,17.678782073185058,15.740540515875143,5,1-31,1.3733771199084401,0.6270370115956041,-1.9382415573099152
Molise,area,min,30,30,9.496477350001722,10.15993433833575,12.3504101152962,10.77277943114735,5,1-31,1.2763020811456283,0.6128450928116003,-1.5776306841488488
Molise,pop,max,30,30,19.19580207618823,19.98850772974728,22.91985183930114,20.626002583537876,5,1-31,1.430200507349646,0.6374948537905958,-2.293849255763263
Molise,pop,mean,30,30,14.798156399587002,15.558108778670618,18.065822444054874,16.239175843451573,5,1-31,1.4410194438645707,0.6810670647809545,-1.8266466006033006
Molise,pop,min,30,30,10.078922704456799,10.772369915477508,12.918300206823497,11.395785302410172,5,1-31,1.3168625979533726,0.6234153869326633,-1.5225149044133257
Piemonte,area,max,30,30,15.168017969446296,16.88878039819585,19.347838008378172,19.002067472646154,5,1-31,3.834049503199857,2.113287074450305,-0.34577053573201866
Piemonte,area,mean,30,30,10.958065734209535,12.511219950946066,14.455249258352037,14.119854761843364,5,1-31,3.1617890276338283,1.608634810897298,-0.33539449650867326
Piemonte,area,min,30,30,6.314050485933169,7.618881396397398,8.784212302214941,8.571038928844764,5,1-31,2.256988442911595,0.9521575324473668,-0.21317337337017683
Piemonte,pop,max,30,30,17.819957920863757,19.525123918395046,22.495273181508924,21.842773658115362,5,1-31,4.022815737251605,2.3176497397203164,-0.652499523393562
Piemonte,pop,mean,30,30,13.511155403668056,15.03968095771244,17.32280456869256,16.79884988433278,5,1-31,3.2876944806647224,1.7591689266203385,-0.5239546843597829
Piemonte,pop,min,30,30,8.661130098022515,9.911928595742634,11.205808693576069,10.894225396494502,5,1-31,2.233095298471987,0.9822968007518682,-0.31158329708156707
Puglia,area,max,30,30,21.657372025010886,22.463076257836857,25.087478485955312,22.750274554005873,5,1-31,1.092902528994987,0.2871982961690165,-2.337203931949439
