DATAFLOW,FREQ,REF_AREA,DATA_TYPE,TYPE_SOCIO_EDUC_SERVICE,TYPE_MANAGEMENT,HOLDER_SECTOR_PUBPRIV,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_TYPE_SOCIO_EDUC_SERVICE,NOTE_TYPE_MANAGEMENT,NOTE_HOLDER_SECTOR_PUBPRIV,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:47_850(1.0),A,ITE3,P_100CH_Y0_2,DNUR,ALL,9,2023,32,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE4,P_100CH_Y0_2,DNUR,ALL,9,2014,27.5,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE4,P_100CH_Y0_2,DNUR,ALL,9,2015,27.6,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE4,P_100CH_Y0_2,DNUR,ALL,9,2016,28.6,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE4,P_100CH_Y0_2,DNUR,ALL,9,2017,29.8,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE4,P_100CH_Y0_2,DNUR,ALL,9,2018,31.1,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE4,P_100CH_Y0_2,DNUR,ALL,9,2019,34,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE4,P_100CH_Y0_2,DNUR,ALL,9,2020,34.5,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE4,P_100CH_Y0_2,DNUR,ALL,9,2021,35.2,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE4,P_100CH_Y0_2,DNUR,ALL,9,2022,37,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE4,P_100CH_Y0_2,DNUR,ALL,9,2023,38.9,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF1,P_100CH_Y0_2,DNUR,ALL,9,2014,18.6,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF1,P_100CH_Y0_2,DNUR,ALL,9,2015,18.4,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF1,P_100CH_Y0_2,DNUR,ALL,9,2016,19.9,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF1,P_100CH_Y0_2,DNUR,ALL,9,2017,20.4,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF1,P_100CH_Y0_2,DNUR,ALL,9,2018,21.8,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF1,P_100CH_Y0_2,DNUR,ALL,9,2019,22.7,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF1,P_100CH_Y0_2,DNUR,ALL,9,2020,23.8,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF1,P_100CH_Y0_2,DNUR,ALL,9,2021,23.9,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF1,P_100CH_Y0_2,DNUR,ALL,9,2022,26.1,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF1,P_100CH_Y0_2,DNUR,ALL,9,2023,27.8,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF2,P_100CH_Y0_2,DNUR,ALL,9,2014,21.6,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF2,P_100CH_Y0_2,DNUR,ALL,9,2015,21.4,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF2,P_100CH_Y0_2,DNUR,ALL,9,2016,21.6,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF2,P_100CH_Y0_2,DNUR,ALL,9,2017,21.2,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF2,P_100CH_Y0_2,DNUR,ALL,9,2018,22.7,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF2,P_100CH_Y0_2,DNUR,ALL,9,2019,22.6,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF2,P_100CH_Y0_2,DNUR,ALL,9,2020,21.4,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF2,P_100CH_Y0_2,DNUR,ALL,9,2021,22,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF2,P_100CH_Y0_2,DNUR,ALL,9,2022,22.5,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF2,P_100CH_Y0_2,DNUR,ALL,9,2023,23.5,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF3,P_100CH_Y0_2,DNUR,ALL,9,2014,5.7,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF3,P_100CH_Y0_2,DNUR,ALL,9,2015,5.9,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF3,P_100CH_Y0_2,DNUR,ALL,9,2016,6.7,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF3,P_100CH_Y0_2,DNUR,ALL,9,2017,7.4,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF3,P_100CH_Y0_2,DNUR,ALL,9,2018,8.4,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF3,P_100CH_Y0_2,DNUR,ALL,9,2019,9.3,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF3,P_100CH_Y0_2,DNUR,ALL,9,2020,9.9,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF3,P_100CH_Y0_2,DNUR,ALL,9,2021,10.7,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF3,P_100CH_Y0_2,DNUR,ALL,9,2022,12.2,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF3,P_100CH_Y0_2,DNUR,ALL,9,2023,14.4,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF4,P_100CH_Y0_2,DNUR,ALL,9,2014,11.8,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF4,P_100CH_Y0_2,DNUR,ALL,9,2015,12.7,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF4,P_100CH_Y0_2,DNUR,ALL,9,2016,13.6,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF4,P_100CH_Y0_2,DNUR,ALL,9,2017,14.6,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF4,P_100CH_Y0_2,DNUR,ALL,9,2018,15.8,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF4,P_100CH_Y0_2,DNUR,ALL,9,2019,17.4,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF4,P_100CH_Y0_2,DNUR,ALL,9,2020,18.1,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF4,P_100CH_Y0_2,DNUR,ALL,9,2021,18,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF4,P_100CH_Y0_2,DNUR,ALL,9,2022,18.9,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF4,P_100CH_Y0_2,DNUR,ALL,9,2023,19.7,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITF5,P_100CH_Y0_2,DNUR,ALL,9,2014,14,,,FILTER_ATS,,,,,,,,
