"Year","Sex","Country/Region/World","ISO","Prevalence of BMI<18.5 kg/m² (underweight)","Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval","Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity)","Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m²","Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m²","Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m²","Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m²","Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m²","Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity)","Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval"
2009,"Women","World",NA,0.11497074120940481,0.1120415187896978,0.11802454166673454,0.12041085557351171,0.11885657858739254,0.12198994845178346,0.11795173789244119,0.11564872571414592,0.12024282154423949,0.4341506335899291,0.4306609088688045,0.43754960966304585,0.21251602973471317,0.21005464036690935,0.21509031027578382,0.07995245169595207,0.07853047306604748,0.08139698893362299,0.026987514245301613,0.026297535455591593,0.027721717424524065,0.01347088963225802,0.012870406353195658,0.014087650840590526
2010,"Women","World",NA,0.11263543676009725,0.10975279476853346,0.1156026950698533,0.12315067692176268,0.12157608566687804,0.12475492570899524,0.11616614346594249,0.11397482932375941,0.1183946978158565,0.4329594198074539,0.42947566972805623,0.4363339936819833,0.21508832104474368,0.2125837587482047,0.21764026351266222,0.0815406408447778,0.08010706590282611,0.08299610730198487,0.027645257890583856,0.02694362518360806,0.028390152349431777,0.013964778186401046,0.013350493001230715,0.014596971287644927
2011,"Women","World",NA,0.11028316049044098,0.10742878130199135,0.11320386570972436,0.12598714728508187,0.124377947374742,0.12762671646280135,0.11435307182210647,0.11216841214408337,0.11652053391512462,0.4316843707744663,0.4281916972146398,0.4349715451427735,0.21769224762790432,0.21519574156009372,0.2201970972578073,0.0831993174146356,0.08174029601687056,0.0846700105847144,0.028320202465924635,0.027604890992626408,0.029090369593956805,0.014467627404521637,0.013846637188213213,0.015123218546960648
2012,"Women","World",NA,0.10790795787830476,0.10509515493555507,0.11078486388122924,0.12891846871830695,0.12730745293306248,0.1305947803788338,0.11250360622020333,0.11034300813345059,0.11464280322938039,0.43030404281307916,0.4268435104178964,0.4335843937227575,0.2203659223701058,0.21784371462046606,0.22289276659497112,0.08492917423744185,0.08344544221733609,0.08645159287472261,0.029013515532396793,0.028290931367385457,0.029774473573633678,0.014975778948468313,0.014346876050505957,0.015631675426908374
2013,"Women","World",NA,0.1055003559684638,0.1026752807466379,0.10827602877893176,0.13193066539991224,0.13028242905307494,0.13364917409054378,0.11063585985653145,0.1085380469987194,0.11274000333262377,0.4288058233395466,0.42540094348292135,0.43215986730638145,0.22312729343554594,0.2205493353703329,0.22582310139756867,0.08671569339331064,0.08519375747024088,0.08823993442112833,0.029724158732023376,0.028972849245431875,0.030507007757747805,0.015490813274578233,0.014840977327117557,0.01617463056226439
2014,"Women","World",NA,0.10309329962955377,0.10022015316105665,0.1058373744268402,0.1350597174251848,0.133348158846519,0.13680970963128322,0.10875336624390515,0.10658886607547459,0.11082231268462865,0.42713906682642316,0.42372500667085183,0.4305758147157674,0.22595454787493308,0.22328663325304782,0.22867365626975275,0.08856463047739221,0.08696863735721662,0.09016711726115871,0.03047281151053425,0.029700814211804653,0.03127446545954336,0.016022275437258343,0.015348469783972862,0.016737263247459097
2015,"Women","World",NA,0.10071046197802386,0.09784463221575153,0.10352339731984453,0.13834599348154478,0.1365169694540093,0.14018069266840086,0.10685572105270583,0.10467129878873122,0.10896229036936181,0.42527632941429694,0.4218017678016696,0.4288527288825286,0.22881149207342863,0.22598168082522566,0.23166378422449227,0.0904926852556284,0.08881930982694008,0.09219744602706749,0.031268949442726915,0.030465906988336167,0.03213120474894408,0.01658435878318948,0.015860916739952845,0.017330504107813605
2016,"Women","World",NA,0.09838112105033638,0.09538756574205211,0.10130484841171636,0.14175566219143967,0.13982949735270195,0.14369837510751834,0.10497849209293389,0.10269434500478698,0.10723981794975003,0.4232583050802826,0.41953241915114936,0.4271551725503677,0.23162641758500746,0.2285349211852304,0.23469209647117342,0.09246944256294282,0.09069218164395984,0.09430668504688935,0.03210924628260781,0.031243306438526016,0.033034658318236286,0.01717697334588905,0.016402622290243505,0.017980708765845697
2017,"Women","World",NA,0.09610052027270881,0.09298958733306599,0.09927334576308568,0.14523886791410057,0.14311616310351488,0.14740794264962392,0.1031057967208972,0.10061320444277592,0.10558386599804258,0.42115987965819096,0.41711081980122705,0.4254043725368237,0.23439493343410245,0.23095002451813046,0.23779135394565765,0.09445873758120245,0.0925072680055326,0.09650170095001519,0.03297857208269325,0.03202571257069287,0.03395545739747666,0.01780155825020488,0.016974329608581078,0.018696651667494346
2018,"Women","World",NA,0.09385476547401746,0.09045619873101723,0.09729323136132612,0.14880009293825358,0.14639414711037788,0.1512192442868358,0.10123382106486342,0.09841170711386829,0.10398972765549626,0.4189575338711037,0.41446989441102744,0.4236685203040431,0.23715378465176185,0.23325629673263337,0.24108232279364525,0.09646201681117572,0.09426108455345067,0.0987528797894565,0.03387537517544015,0.032786824755513755,0.03497950476488957,0.018462700951637715,0.01755152851333397,0.019452348617024325
