"DATAELEZIONE";"CODTIPOELEZIONE";"REGIONE";"COLLEGIO";"COMUNE";"COGNOME";"NOME";"DATANASCITA";"LUOGONASCITA";"SESSO";"TOTVOTI";"CONTRASSEGNO"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"AYMAVILLES";"GUICHARDAZ";"ERIKA";25/11/1976 00:00:00;"AOSTA";"F";"104";"VALLE D'AOSTA APERTA"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"AYMAVILLES";"RINI";"EMILY MARINELLA";15/8/1982 00:00:00;"AOSTA";"F";"272";"LEGA PER SALVINI PREM.-FORZA IT.-NOI MODERATI-FRAT. D'ITALIA"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"AYMAVILLES";"GIRARDINI";"GIOVANNI";3/7/1965 00:00:00;"AOSTA";"M";"119";"LA RENAISSANCE VALDOTAINE"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"AYMAVILLES";"IANNI";"DAVIDE";13/12/1991 00:00:00;"IVREA (TO)";"M";"17";"PARTITO COMUNISTA ITALIANO"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"AYMAVILLES";"DE ROSA";"LOREDANA";1/11/1961 00:00:00;"ROMA";"F";"14";"UNIONE POPOLARE CON DE MAGISTRIS"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"AYMAVILLES";"MANES";"FRANCO";21/6/1963 00:00:00;"AOSTA";"M";"336";"VALLEE D?AOSTE ? AUTONOMIE PROGRES FEDERALISME"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"BARD";"RONC";"LOREDANA AUGUSTA";21/8/1964 00:00:00;"AOSTA";"F";"2";"ITALIA SOVRANA E POPOLARE"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"BARD";"GUICHARDAZ";"ERIKA";25/11/1976 00:00:00;"AOSTA";"F";"2";"VALLE D'AOSTA APERTA"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"BARD";"RINI";"EMILY MARINELLA";15/8/1982 00:00:00;"AOSTA";"F";"9";"LEGA PER SALVINI PREM.-FORZA IT.-NOI MODERATI-FRAT. D'ITALIA"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"BARD";"GIRARDINI";"GIOVANNI";3/7/1965 00:00:00;"AOSTA";"M";"1";"LA RENAISSANCE VALDOTAINE"
