anno,settore,lavoratori,settimane_retribuite,settimane_utili,giornate_retribuite,somma_retribuzioni,stipendio_annuo,stipendio_settimanale,stipendio_settimanale_fte,stipendio_annuo_fte,somma_retribuzioni_reale,stipendio_annuo_reale,stipendio_settimanale_reale,stipendio_settimanale_fte_reale,stipendio_annuo_fte_reale,vista
2016,Sanita' e assistenza sociale,434062,22571199,19574997,135064491,9491978908,21867.79517211827,420.53498832738126,484.9032113772482,25214.966991616908,11373272024.900904,26201.95277379937,503.8842652931686,581.0101541727389,30212.528016982425,anno_intero
2016,Servizi di informazione e comunicazione,323266,16809829,15916933,100626773,12194851411,37723.891194867385,725.4595755257237,766.155854962762,39840.10445806362,14611848987.954958,45200.698458714985,869.244356260552,918.0065649553816,47736.34137767984,anno_intero
2016,Trasporto e magazzinaggio,611650,31805769,30527563,190227298,18888736352,30881.60933867408,593.8776814985986,618.7436695159715,32174.67081483052,22632449863.20721,37002.28866705994,711.5831679217443,741.3775499605787,38551.63259795009,anno_intero
2017,Altre attivita' di servizi,243416,12657603,10930049,75691794,5634950352,23149.465737667204,445.18305337906395,515.5466688209724,26808.426778690566,6678253040.934653,27435.554938601625,527.608034549247,610.9993688898059,31771.967182269906,anno_intero
2017,"Attivita' artistiche, sportive, di intrattenimento e divertimento",66663,3466476,3086003,20722556,2056549584,30849.94050672787,593.2680866678437,666.4120495022202,34653.426574115445,2437316685.1960397,36561.76117480521,703.1107918231771,789.7972507466906,41069.45703882791,anno_intero
2017,Attivita' dei servizi di alloggio e di ristorazione,408857,21260517,16744113,126956861,7527731394,18411.648556830383,354.0709472869357,449.57480841176834,23377.890037411955,8921479681.8,21820.537943095016,419.62665732917026,532.8129165038482,27706.27165820011,anno_intero
2017,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",30100,1565199,1372129,9371608,542099011,18009.93392026578,346.34510436053176,395.07875061309835,20544.095031881116,642467837.7891089,21344.446438176372,410.4703860589668,468.2269945384938,24347.803716001676,anno_intero
2017,Attivita' finanziarie e assicurative,450177,23409201,22587755,140043100,22891829072,50850.72998398408,977.8987788605002,1013.4618988031347,52700.018737763,27130217226.91485,60265.66711963261,1158.9552854416027,1201.102864225101,62457.348939705254,anno_intero
2017,Attivita' immobiliari,30244,1572688,1306044,9417978,890191889,29433.669124454438,566.0320985472007,681.5941032614521,35442.89336959551,1055009595.1811881,34883.26924947719,670.8321009514843,807.7902392118398,42005.09243901567,anno_intero
2017,Attivita' manifatturiere,2629896,136754557,132012127,817882710,89012071585,33846.232544937135,650.8892539866149,674.2719294644802,35062.14033215297,105492524442.81683,40112.812233950244,771.4004326950277,799.112375810874,41553.84354216545,anno_intero
2017,"Attivita' professionali, scientifiche e tecniche",321484,16717145,14781261,100095592,9417453166,29293.69164872902,563.3409990760982,637.1210931191865,33130.2968421977,11161080633.368317,34717.37515200855,667.6427484099896,755.0831172907587,39264.32209911945,anno_intero
2017,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",1461103,75977284,67018893,454695735,39317586187,26909.523960323128,517.4913357918928,586.6642140299155,30506.539129555604,46597178877.06831,31891.78235693741,613.3040880622729,695.284221974068,36154.779542651544,anno_intero
2017,Costruzioni,347119,18050185,17206737,107705908,9445205512,27210.280946879888,523.2747205638059,548.9248491448436,28544.092155531867,11193971285.01386,32248.224052886362,620.1582579355204,650.557469729087,33828.98842591252,anno_intero
2017,Estrazione di minerali da cave e miniere,30752,1599104,1579197,9566570,1574114954,51187.40094953174,984.3730951833027,996.7818796514938,51832.65774187768,1865559999.9386137,60664.67221444503,1166.6283118162507,1181.3345642998397,61429.39734359166,anno_intero
2017,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",125577,6530004,6347252,39075532,4079441443,32485.578115419226,624.7226560657543,642.7098597944433,33420.91270931105,4834743967.595049,38500.234657581,740.3891280304039,761.7066358157907,39608.74506242111,anno_intero
2017,"Fornitura di energia elettrica, gas, vapore e aria condizionata",71085,3696418,3654378,22130866,3520266933,49521.9375817683,952.345468775447,963.3012602965539,50091.665535420805,4172039127.5257425,58690.85077760065,1128.6708179447623,1141.6550579950247,59366.06301574129,anno_intero
2017,Istruzione,124253,6461144,5640269,38661409,2787194294,22431.605627228317,431.37783247053466,494.15981649102196,25696.31045753314,3303239178.1366334,26584.784094843857,511.2467974923069,585.6527726136171,30453.944175908087,anno_intero
2017,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",664817,34570374,28887424,206558211,14372385650,21618.559167409978,415.7428453044795,497.5308857584532,25871.606059439568,17033411507.970297,25621.203290484893,492.7170156727346,589.6479903493747,30661.695498167486,anno_intero
2017,Sanita' e assistenza sociale,451775,23492287,20370253,140552712,9884281978,21878.771463671073,420.74583789990305,485.23118382476645,25232.021558887856,11714342106.6,25929.593506944824,498.64630491701377,575.0710168695499,29903.692877216596,anno_intero
2017,Servizi di informazione e comunicazione,327720,17041437,16159026,101992054,12414443234,37881.24995117784,728.485704227877,768.266802343161,39949.87372184437,14712958961.483168,44894.90712035631,863.3637504562067,910.5102598066967,47346.533509948225,anno_intero
2017,Trasporto e magazzinaggio,623678,32431229,31130673,193908243,19405965145,31115.3594402881,598.3727950920393,623.3712051454846,32415.3026675652,22998950770.856434,36876.32202972758,709.1606294308624,738.7874579793515,38416.94781492628,anno_intero
2018,Altre attivita' di servizi,242962,12633992,10900753,75537788,5651517820,23260.91248837267,447.32637316851236,518.4520573945672,26959.506984517495,6625726572.517139,27270.629038767955,524.4365021378151,607.8228332040126,31606.787326608657,anno_intero
2018,"Attivita' artistiche, sportive, di intrattenimento e divertimento",65435,3402616,3017589,20338317,1944165979,29711.407946817453,571.3739014334853,644.2779248598798,33502.45209271375,2279301348.5435843,34833.06103069588,669.8673457550263,755.3385661677532,39277.605440723164,anno_intero
2018,Attivita' dei servizi di alloggio e di ristorazione,420712,21876958,17203998,130591944,7806439459,18555.30495683508,356.83386415058254,453.7572870561831,23595.37892692152,9152113645.85994,21753.86878876747,418.3448926427495,531.9759770874153,27662.7508085456,anno_intero
2018,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",29516,1534832,1342662,9188970,532194793,18030.722082938068,346.74465544111666,396.3728719513921,20611.38934147239,623934541.8423114,21138.858308792227,406.51650593831204,464.69963538277796,24164.381039904456,anno_intero
2018,Attivita' finanziarie e assicurative,445598,23171095,22361002,138586814,23051976065,51732.6739909066,994.8591581450942,1030.9008543087648,53606.84442405577,27025676150.641525,60650.35334683173,1166.352999314082,1208.6075637684537,62847.5933159596,anno_intero
2018,Attivita' immobiliari,30742,1598584,1327009,9570757,920412478,29939.902348578493,575.7673528572786,693.5992732528566,36067.16220914855,1079073198.9872673,35100.94330190837,675.0181404213148,813.1619295628494,42284.42033726817,anno_intero
2018,Attivita' manifatturiere,2676197,139162186,134384790,832129942,91379384104,34145.238225736,656.6394703227786,679.983085169088,35359.12042879257,107131364125.84525,40031.1950599471,769.8309950796923,797.1985827104781,41454.326300944864,anno_intero
2018,"Attivita' professionali, scientifiche e tecniche",325473,16924581,15025802,101319673,9754248486,29969.45518061406,576.3361873478581,649.166579328012,33756.662125056624,11435686031.089127,35135.59045170913,675.6850306125231,761.069926988864,39575.63620342094,anno_intero
2018,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",1476500,76777881,67806053,459396951,40451470180,27396.864327802235,526.8635921327394,596.5760929927598,31021.956835623507,47424495402.017624,32119.536337296056,617.6843484651215,699.413891588965,36369.52236262619,anno_intero
2018,Costruzioni,349393,18168420,17328265,108365310,9622877907,27541.70205756841,529.648582925758,555.3284132600696,28877.07748952362,11281669789.107737,32289.341197756497,620.9494160255947,651.055936015968,33854.90867283033,anno_intero
2018,Estrazione di minerali da cave e miniere,30764,1599728,1579019,9566299,1632028367,53049.940417370955,1020.1911618725184,1033.5710760921813,53745.69595679343,1913357448.8726737,62194.690185693464,1196.051734340259,1211.7380784352017,63010.38007863049,anno_intero
2018,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",127488,6629376,6436976,39659969,4161981396,32646.06391189759,627.808921382646,646.5740117719873,33621.84861214334,4879423830.570029,38273.59304852244,736.0306355485085,758.0304525867471,39417.58353451084,anno_intero
2018,"Fornitura di energia elettrica, gas, vapore e aria condizionata",69928,3636256,3595229,21763655,3490404186,49914.25732181672,959.8895638810909,970.843355458025,50483.854483817304,4092080127.9549456,58518.477976703834,1125.355345705843,1138.197352089379,59186.2623086477,anno_intero
2018,Istruzione,129549,6736544,5937539,40291286,2991306319,23090.153679302814,444.0416805709278,503.795649847521,26197.373792071092,3506947760.864838,27070.434822845706,520.5855941659163,590.6399538369076,30713.27759951919,anno_intero
