anno,tipologia_contrattuale,lavoratori,settimane_retribuite,settimane_utili,giornate_retribuite,somma_retribuzioni,stipendio_annuo,stipendio_settimanale,stipendio_settimanale_fte,stipendio_annuo_fte,somma_retribuzioni_reale,stipendio_annuo_reale,stipendio_settimanale_reale,stipendio_settimanale_fte_reale,stipendio_annuo_fte_reale,vista
2016,Tempo indeterminato,11602989,555219470,495110253,3179398858,291129145111,25090.87486948406,524.3496686292359,588.008717951151,30576.45333345985,348830417114.98206,30063.84105983226,628.2748281773729,704.5509863739018,36636.65129144289,complessivo
2017,Stagionale,419950,9811721,8330297,47078201,3198667040,7616.7806643648055,326.0046876587706,383.97995173521423,19966.95749023114,3790895491.960396,9027.016292321458,386.3639714134142,455.07326953173407,23663.81001565017,complessivo
2017,Tempo determinato,3482460,101211778,83285609,517083023,33625814147,9655.764645394347,332.2322244650222,403.7409889984715,20994.53142792052,39851583696.989105,11443.515129244586,393.7445274105263,478.4930334962083,24881.63774180283,complessivo
2017,Tempo indeterminato,11408339,550193765,491168340,3159156571,293097392248,25691.504455468934,532.716673457759,596.7351076577941,31030.225598205292,347363939129.56036,30448.24834969932,631.3483743850867,707.2197266003757,36775.425783219536,complessivo
2018,Stagionale,451372,10704442,9054602,51392470,3514345297,7785.917817232793,328.30719219180224,388.1280808366839,20182.660203507563,4120148208.1380997,9128.054483082911,384.900792412916,455.0336070142121,23661.74756473903,complessivo
2018,Tempo determinato,3713460,110446865,90666918,565648786,36648284743,9869.039855821795,331.8182434874906,404.20790241265286,21018.810925457947,42965716784.888344,11570.26513948941,389.0170787997318,473.8852685484284,24642.033964518276,complessivo
2018,Tempo indeterminato,11549258,557284872,498097089,3202291739,301228829039,26082.093675541753,540.5293489448966,604.7592641903594,31447.48173789869,353154660489.40546,30578.125494244345,633.7058087042518,709.0076779979041,36868.39925589102,complessivo
2019,Stagionale,534141,12607622,10550988,60947996,4170205179,7807.311513252119,330.76857626283527,395.2430975184504,20552.64107095942,4865239375.499999,9108.530098794137,385.8966723066411,461.1169471048587,23978.081249452654,complessivo
2019,Tempo determinato,3494693,99577735,81778627,506263724,32626869271,9336.118872530435,327.6522534982343,398.9657257390736,20746.217738431827,38064680816.166664,10892.13868461884,382.26096241460664,465.4600133622525,24203.92069483713,complessivo
2019,Tempo indeterminato,11968219,578110811,516277594,3323097885,314262153666,26258.055076198056,543.6019318206454,608.707713288832,31652.801091019264,366639179276.99994,30634.39758889773,634.2022537907529,710.1589988369706,36928.26793952247,complessivo
2020,Stagionale,496405,9087498,7308646,41339287,2802316837,5645.2228261198015,308.3705588710996,383.42489662243867,19938.09462436681,3278957237.4281526,6605.407353729622,360.8206832538673,448.64086144385055,23329.32479508023,complessivo
2020,Tempo determinato,3268906,87388075,71675853,431983954,28363702933,8676.818156594285,324.57177862082443,395.7218748830237,20577.537493917232,33188027772.04399,10152.640599651379,379.77753568829604,463.0294078543298,24077.52920842515,complessivo
2020,Tempo indeterminato,11919805,555753689,493302503,3022185217,292156971054,24510.213971956757,525.6950639044701,592.2470883023271,30796.848591721013,341849359092.5103,28679.106670999256,615.1094736008316,692.9811971631335,36035.022252482944,complessivo
2021,Stagionale,577406,11380618,9320718,54395035,3722231638,6446.472045666307,327.06761952646156,399.3503116390819,20766.21620523226,4275922524.650672,7405.400229042773,375.719712642202,458.7546286295403,23855.2406887361,complessivo
2021,Tempo determinato,3671308,107474499,90043231,548751986,36679471520,9990.845638666111,341.28534546599747,407.35401331833594,21182.40869255347,42135630911.17083,11477.007897776713,392.0523594268704,467.9489001363226,24333.342807088775,complessivo
2021,Tempo indeterminato,12025963,572675378,513337805,3239375066,316481054926,26316.483339088936,552.6360431825655,616.5161650737958,32058.840583837384,363558371157.7946,30231.123375133837,634.841980508187,708.2244237939861,36827.67003728728,complessivo
2022,Stagionale,650898,15428277,12849112,74248322,5225100987,8027.526566374455,338.6704158215464,406.6507465262969,21145.83881936744,5554570054.563944,8533.70275306414,360.0252999452851,432.2921346287544,22479.191000695228,complessivo
2022,Tempo determinato,3924525,119473901,100392587,608979935,41073712797,10465.906777762913,343.7881617090581,409.13093311361723,21274.808521908097,43663618310.84281,11125.83518026839,365.4657456178886,434.92870953552386,22616.29289584724,complessivo
2022,Tempo indeterminato,12408739,603234729,544199868,3469588997,341928353095,27555.447261401823,566.8247145880091,628.31392141205,32672.3239134266,363488666656.0524,29292.957701507978,602.565882204127,667.932294787055,34732.47932892686,complessivo
2023,Stagionale,666835,16103788,13504525,78190732,5596886080,8393.209834516785,347.55090417235994,414.44523817016886,21551.15238484878,5644037605.526538,8463.919268674466,350.47888146109085,417.93677345382656,21732.712219598983,complessivo
2023,Tempo determinato,3985092,121284733,101260300,618630654,42378228281,10634.190698985118,349.4110695778998,418.50782864557976,21762.407089570148,42735247895.835724,10723.779500156012,352.3547180157928,422.03358962827207,21945.74666067015,complessivo
2023,Tempo indeterminato,12736519,621947666,562297015,3583916719,363617012182,28549.167333868852,584.6424579749126,646.6636003429611,33626.507217833976,366680340001.56195,28789.68264417946,589.5678367278605,652.1114824014528,33909.79708487554,complessivo
2024,Stagionale,685310,16727852,14044544,81599903,5966439690,8706.190906305175,356.67697741467344,424.82259943790274,22090.775170770943,5966439690,8706.190906305175,356.67697741467344,424.82259943790274,22090.775170770943,complessivo
2024,Tempo determinato,4047022,121521325,100829828,620550195,43515266822,10752.416671320294,358.08749470103294,431.57136816696743,22441.711144682307,43515266822,10752.416671320294,358.08749470103294,431.57136816696743,22441.711144682307,complessivo
2024,Tempo indeterminato,12998670,636739859,576483367,3669071476,384682669530,29594.0022733095,604.1441635743429,667.2918796111597,34699.17773978031,384682669530,29594.0022733095,604.1441635743429,667.2918796111597,34699.17773978031,complessivo
