anno,eta_decennale,sesso,lavoratori,settimane_retribuite,settimane_utili,giornate_retribuite,somma_retribuzioni,stipendio_annuo,stipendio_settimanale,stipendio_settimanale_fte,stipendio_annuo_fte,somma_retribuzioni_reale,stipendio_annuo_reale,stipendio_settimanale_reale,stipendio_settimanale_fte_reale,stipendio_annuo_fte_reale,vista
2021,40-49,Femmine,964940,50176840,43272390,299887763,26800956330,27774.738667689184,534.130015560964,619.3546584785356,32206.44224088385,30787662885.80614,31906.29768255658,613.5831368776142,711.485149902886,36997.227794950064,anno_intero
2021,40-49,Maschi,1428204,74266568,72319857,443696184,53180897027,37236.20507084422,716.0812524284144,735.3567779731644,38238.55245460455,61091683053.08926,42775.17991343621,822.6000567723723,844.7428629883665,43926.62887539505,anno_intero
2021,50-59,Femmine,871928,45340205,38989523,271128855,25434330868,29170.219178647778,560.9663844263607,652.3375745838183,33921.55387835855,29217748607.481766,33509.3592676021,644.4114799984202,749.3743539125053,38967.46640345027,anno_intero
2021,50-59,Maschi,1398441,72718900,70964384,434686801,57856154844,41371.8954492896,795.613724134991,815.2843945492432,42394.78851656064,66462396687.397316,47526.06415815706,913.963174462173,936.559904295052,48701.115023342696,anno_intero
2021,60+,Femmine,191270,9946011,8272033,59501102,5416028297,28316.141041459716,544.5427616156869,654.7396869669161,34046.46372227964,6221675500.488483,32528.23495837551,625.5448038905731,752.1337862758144,39110.95688634235,anno_intero
2021,60+,Maschi,345844,17983843,16973408,107571445,15140532256,43778.50202981691,841.8963764307773,892.0148656062471,46384.77301152485,17392722754.733204,50290.659241545916,967.1304823297893,1024.7042170160055,53284.61928483229,anno_intero
2022,<20,Femmine,2840,147674,114335,879038,37330127,13144.410915492957,252.78740333437165,326.49780906983864,16977.88607163161,39683980.47868562,13973.23256291747,268.72692876664553,347.08514871811445,18048.427733341952,anno_intero
2022,<20,Maschi,9118,474136,426415,2821045,164169883,18005.032134239966,346.2506179661532,385.0002532743923,20020.0131702684,174521625.178508,19140.34055478263,368.0834722073582,409.27646817890553,21282.376345303088,anno_intero
2022,20-29,Femmine,428964,22306099,19593008,133065652,9015774932,21017.556093285217,404.18429650114973,460.1526693604167,23927.93880674167,9584265180.820604,22342.819399344942,429.67016244393983,489.1676245332317,25436.716475728048,anno_intero
2022,20-29,Maschi,717125,37290473,35273507,222462985,17640778807,24599.30808018128,473.0639594461567,500.1141170057176,26005.934084297318,18753119211.349026,26150.41898044138,502.8930368179836,531.6488437440888,27645.739874692623,anno_intero
2022,30-39,Femmine,789619,41060152,36084951,245157153,19855518185,25145.69455015647,483.57147301841457,550.243734153886,28612.67417600207,21107509118.512436,26731.257883248043,514.0631023117604,584.9393870179409,30416.84812493293,anno_intero
2022,30-39,Maschi,1248788,64936960,62513481,387495070,39148208915,31348.963086608775,602.8648232839972,626.2362659823726,32564.285831083376,41616701661.86057,33325.67390290471,640.8785021944446,665.7236326650977,34617.628898585084,anno_intero
2022,40-49,Femmine,1101490,57277431,49206706,342242346,30156539098,27377.950864737766,526.4995055033107,612.8542540116382,31868.421208605185,32058061545.564835,29104.26925851786,559.6979645536971,651.4978170976296,33877.886489076736,anno_intero
2022,40-49,Maschi,1542160,80192283,77796287,479070171,57192511574,37085.977832390934,713.1922104524696,735.1573420721223,38228.18178775036,60798788946.78331,39424.43647013495,758.1625896195436,781.5127339789791,40638.662166906914,anno_intero
2022,50-59,Femmine,1033909,53763229,46121730,321480456,29816416984,28838.531228570406,554.5875413100653,646.4722156779461,33616.555215253196,31696493010.522205,30656.94660799181,589.5570932043945,687.2355614267332,35736.249194190124,anno_intero
2022,50-59,Maschi,1565421,81401871,79183522,486626744,64400980731,41139.719430747384,791.1486546912416,813.312910367892,42292.271339130384,68461788574.606575,43733.78699698456,841.0345822961068,864.5964064923328,44959.01313760131,anno_intero
2022,60+,Femmine,236058,12274987,10145900,73423045,6516766926,27606.634496606766,530.8980715010126,642.3054559970037,33399.883711844195,6927682069.646537,29347.372551010925,564.3738824038296,682.8060664550742,35505.91545566386,anno_intero
2022,60+,Maschi,417087,21688475,20374718,129714194,17674076061,42375.034611483934,814.9063528440796,867.4513218293378,45107.46873512556,18788516025.769985,45046.99505323825,866.2903235829159,922.1485188541006,47951.72298041324,anno_intero
2023,<20,Femmine,3449,179345,136877,1068249,45843658,13291.869527399245,255.61715130056595,334.9259408081708,17416.148922024884,46229872.47346251,13403.8482091802,257.7706235103432,337.747557832671,17562.873007298895,anno_intero
2023,<20,Maschi,11229,583906,520851,3476150,206644705,18402.770059666935,353.9006364038047,396.744376030765,20630.70755359978,208385603.946925,18557.806033210887,356.88210764562274,400.08678863422557,20804.513008979728,anno_intero
2023,20-29,Femmine,482992,25115555,22157029,150012655,10523122433,21787.36383418359,418.98824983162825,474.9338204594127,24696.55866388946,10611775528.47599,21970.913655870056,422.5180581705636,478.9349478432325,24904.61728784809,anno_intero
2023,20-29,Maschi,776557,40380938,38255195,241076435,19818822318,25521.400641549815,490.7964821916717,518.0687830241095,26939.576717253694,19985787965.16091,25736.408229094464,494.9312461528484,522.433305206284,27166.531870726765,anno_intero
2023,30-39,Femmine,831409,43233230,38104008,258376060,21683414438,26080.32200517435,501.54509478010317,569.058626011206,29591.048552582713,21866088527.62089,26300.038281544814,505.7704115010813,573.8527172160182,29840.341295232945,anno_intero
2023,30-39,Maschi,1284569,66797566,64378154,398764979,41795219596,32536.375699553704,625.6997387599422,649.2143219266585,33759.14474018624,42147327595.9663,32810.481644790045,630.9710086736739,654.6836927937744,34043.552025276265,anno_intero
