"week_number","date","Cipro","Grecia","Turchia","Spagna","Portogallo","Italia","Serbia","Croazia","Francia","Slovenia","Romania","Ungheria","Austria","Slovacchia","Cechia","Germania","Belgio","Polonia","Paesi Bassi","Irlanda","Danimarca","Lituania","Lettonia","Finlandia","Norvegia","Islanda","UE-27"
22,2025-05-26,1.28143298658933,0.599598338355469,0.876779319836507,1.57288083859585,1.98034762094616,1.28159088629568,1.26767591720292,2.276642952089,4.00973754179193,2.51759736410696,0.299127217623221,0.871644562221738,3.81014140387297,1.3461056996725,1.38099898568915,5.04356293534901,2.07094676187153,1.35173956307639,4.13470540787271,2.48840044164383,3.05383099142739,1.92598728578157,2.38351895567035,4.88750760272456,3.58580438588152,5.25059932028338,2.78426023508919
23,2025-06-02,1.63825569999319,0.761323625192441,4.79991950263461,1.79185347913776,2.34046983350894,1.35790373538305,1.77039762311475,2.46053331765475,3.74097050661649,3.39017419128413,0.283142000088383,1.01874091390654,3.70609603808032,1.24658051925828,1.5297336408694,5.1977329180798,2.01105961236263,1.3077519376079,3.71849136137589,3.43279079316181,3.22910424600014,2.4049036851452,2.32020924876939,7.52686904052126,3.60783659958254,5.45592677561546,2.88398725266281
24,2025-06-09,1.61216159504257,0.576793784511891,1.15719326498518,1.86018107712589,3.08597584904161,1.65636038846602,1.47105089810452,3.19007276794551,4.06399059529422,3.36780310869883,0.229663431394837,1.13169677375484,4.12477372579638,1.13793930496292,1.75777101909583,5.22265716876038,2.39115711628359,1.58026893407667,4.35869139852966,2.69516695578002,3.33522290448996,2.26266745462146,2.47178396003383,8.54022571597555,3.92693727612372,7.52438955326199,3.09297277181723
25,2025-06-16,1.86596489830935,1.07226152710316,1.15893559131129,1.99482425666036,2.90360358556064,1.89357476194173,2.2389231709614,2.88685309065766,4.35934677387916,4.60561326001256,0.251748224000737,1.32601877479206,4.70578042574707,1.14604401746514,2.09753862399159,4.91269772884621,2.2615769649909,1.7833995732876,4.81353701325594,3.6687754846676,3.49140833605969,2.62350108427347,3.33203581919116,12.5979550572986,5.29490316840159,7.89050913212819,3.35650244398495
26,2025-06-23,2.61680285700888,1.38061601677594,1.86571483136121,2.3408471576085,2.75389888966217,2.2268418230834,2.52021994806989,3.85753685568947,4.81476202586547,5.00455122003892,0.313750549881513,1.9007819422511,4.47569023470667,1.53875260640571,2.73720215504246,5.25371572778604,2.91099654960447,2.41989743990161,4.78846858288259,4.08264680874494,5.06800007213572,2.98145507645022,3.45939586706719,14.5466645048099,7.33719267726027,9.28562073960654,3.8550405179574
27,2025-06-30,6.48837666550714,3.71473494858829,7.8640154822231,7.57235818512972,5.58152471162037,5.8828903841893,5.48524540139756,6.9855166694534,8.76049091787652,8.41989686934124,0.946934536556772,4.78252493022604,7.86521983172022,10.2780448760081,19.8534281412849,6.98160614661009,11.4720765222395,5.93310625625924,6.42812519442534,7.16162101595234,16.9499644998256,6.28669926366887,6.59436461961016,26.6450132779599,24.7355663108473,16.5577278273074,8.02723757706084
28,2025-07-07,9.13596261922594,4.61721519116198,4.4502238244164,9.21896803375255,7.60853315364475,7.51950580308901,6.84515742628232,9.5411428652069,15.9738011943522,12.6780036046767,1.01358816982678,6.0180979764143,12.6514873804614,13.0469585725947,16.0013149802818,8.30880848250063,15.1522254560095,6.78494976253168,7.3469634740995,7.67252356231889,27.1900997727787,8.52211190369345,8.12320894229086,31.1684672953975,36.7598322280668,20.1346133204961,10.5808893002995
29,2025-07-14,9.46166643559579,6.15128920618016,4.33611912858148,10.0789164569707,8.51469488193779,8.51067981874504,7.94634267192663,13.8575137175288,18.948286715048,18.0552767296663,0.972925769462195,7.91109508489499,13.7055187032712,16.4992597479716,17.1871890702025,8.96869640060517,22.8714938107706,8.13960779657197,10.3493781974185,8.09034474904406,37.6928657358399,8.11324627224145,8.7118553911354,34.1326409698273,42.1003994056708,25.8136443532375,12.4244837762019
30,2025-07-21,10.3266910790668,5.63066677766552,4.60837152923868,12.8963803712656,9.47825183880011,10.0517418034144,8.78959295378251,13.3684342772884,22.9102247113984,22.6935329948504,1.51458513438143,9.09540395205585,15.8628396120387,16.2563304639521,19.924385617302,10.4878293998144,26.1560554944877,8.80064092710534,15.7203894964064,9.19443735240898,37.2105031210671,8.38123342192813,8.12619780688743,34.4933488441522,42.8398787410727,26.7442854367304,14.348205577438
31,2025-07-28,12.4130677148369,8.21333980614332,4.67176532638479,15.3212386123117,13.4742148342914,13.8701246284306,9.0716942273988,17.4956508854203,29.4151364156211,20.5908325847999,1.69159767579096,9.37254341847095,18.2371309883787,16.5443831215413,20.0515001404915,11.4924944880436,23.1253414325747,8.45723562767962,21.1096575999538,9.95513927349294,26.8137593385662,7.06083075308681,7.97768466418167,24.7625542495847,33.6419031949459,22.9077264640117,16.0636825537673
