"Osservatorio: Osservatorio sui Lavoratori Dipendenti - Anni 2019-2023 (classificazione dell'attività economica ISTAT ATECO 2007)"
"Filtri:"


"
                                
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                        
                                        
                                        
                                            
                                                Cerca
                                            
                                        
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                            
" ";" ";"Femmine";"";"196.973 ";"6.769.506 ";"345.121.492 ";"1.473.147 ";"2.057.002 ";"114.708 ";"13.238.840 ";"677.017.983 ";"2.259.678 ";"3.112.903 ";"166.232 ";"38.291.472 ";"2.030.699.070 ";"5.528.455 ";"7.389.115 ";"135.798 ";"42.135.511 ";"2.491.085.946 ";"5.916.307 ";"7.061.478 ";"613.711 ";"100.435.329 ";"5.543.924.491 ";"15.177.588 ";"19.620.498 "
" ";"2023";"Totale";"";"397.314 ";"14.130.950 ";"774.698.534 ";"3.018.662 ";"4.090.443 ";"254.146 ";"29.505.356 ";"1.659.759.079 ";"5.181.906 ";"6.758.045 ";"419.486 ";"97.877.604 ";"5.884.277.737 ";"15.412.566 ";"18.845.467 ";"399.425 ";"123.930.966 ";"8.439.071.442 ";"18.699.268 ";"20.770.068 ";"1.470.371 ";"265.444.876 ";"16.757.806.792 ";"42.312.403 ";"50.464.023 "
"25  - 29";"2019";"Maschi";"";"139.850 ";"5.157.260 ";"308.194.994 ";"995.524 ";"1.318.281 ";"109.325 ";"12.987.947 ";"805.653.280 ";"2.233.320 ";"2.822.145 ";"258.316 ";"61.724.149 ";"4.077.724.601 ";"10.136.049 ";"11.791.397 ";"438.377 ";"136.170.247 ";"10.720.974.212 ";"21.472.710 ";"22.795.601 ";"945.868 ";"216.039.603 ";"15.912.547.087 ";"34.837.602 ";"38.727.424 "
" ";" ";"Femmine";"";"142.144 ";"5.220.128 ";"272.984.991 ";"979.399 ";"1.439.434 ";"106.807 ";"12.716.221 ";"670.479.645 ";"2.020.229 ";"2.837.302 ";"224.199 ";"52.733.259 ";"2.931.513.320 ";"7.693.582 ";"10.073.052 ";"296.652 ";"92.187.777 ";"6.150.717.198 ";"13.458.693 ";"15.425.891 ";"769.802 ";"162.857.385 ";"10.025.695.154 ";"24.151.904 ";"29.775.679 "
" ";"2019";"Totale";"";"281.994 ";"10.377.388 ";"581.179.985 ";"1.974.923 ";"2.757.715 ";"216.132 ";"25.704.168 ";"1.476.132.925 ";"4.253.549 ";"5.659.447 ";"482.515 ";"114.457.408 ";"7.009.237.921 ";"17.829.631 ";"21.864.449 ";"735.029 ";"228.358.024 ";"16.871.691.410 ";"34.931.403 ";"38.221.492 ";"1.715.670 ";"378.896.988 ";"25.938.242.241 ";"58.989.506 ";"68.503.103 "
" ";"2020";"Maschi";"";"160.648 ";"6.385.056 ";"385.473.490 ";"1.198.322 ";"1.606.038 ";"126.410 ";"14.855.287 ";"908.132.823 ";"2.604.225 ";"3.379.957 ";"381.432 ";"92.985.205 ";"6.517.396.191 ";"16.143.085 ";"18.140.965 ";"245.721 ";"76.173.328 ";"6.497.414.742 ";"12.277.373 ";"12.777.481 ";"914.211 ";"190.398.876 ";"14.308.417.246 ";"32.223.004 ";"35.904.441 "
" ";" ";"Femmine";"";"165.038 ";"6.651.043 ";"354.691.585 ";"1.197.535 ";"1.763.168 ";"123.086 ";"14.364.361 ";"751.125.874 ";"2.280.664 ";"3.322.048 ";"298.755 ";"70.067.033 ";"4.093.726.788 ";"10.893.634 ";"13.855.709 ";"147.281 ";"45.692.240 ";"3.446.877.182 ";"7.006.171 ";"7.658.608 ";"734.160 ";"136.774.677 ";"8.646.421.429 ";"21.378.005 ";"26.599.533 "
" ";"2020";"Totale";"";"325.686 ";"13.036.099 ";"740.165.075 ";"2.395.857 ";"3.369.206 ";"249.496 ";"29.219.648 ";"1.659.258.697 ";"4.884.889 ";"6.702.005 ";"680.187 ";"163.052.238 ";"10.611.122.979 ";"27.036.719 ";"31.996.674 ";"393.002 ";"121.865.568 ";"9.944.291.924 ";"19.283.544 ";"20.436.089 ";"1.648.371 ";"327.173.553 ";"22.954.838.675 ";"53.601.009 ";"62.503.974 "
" ";"2021";"Maschi";"";"143.295 ";"5.408.763 ";"337.351.975 ";"1.044.336 ";"1.380.601 ";"122.268 ";"14.471.404 ";"933.205.836 ";"2.519.915 ";"3.160.603 ";"291.854 ";"69.560.701 ";"4.789.942.382 ";"11.702.703 ";"13.410.617 ";"398.889 ";"123.824.743 ";"10.358.245.129 ";"19.860.003 ";"20.742.215 ";"956.306 ";"213.265.611 ";"16.418.745.322 ";"35.126.957 ";"38.694.036 "
" ";" ";"Femmine";"";"145.080 ";"5.375.142 ";"294.272.286 ";"998.393 ";"1.465.347 ";"116.309 ";"13.726.640 ";"758.003.466 ";"2.207.242 ";"3.045.766 ";"265.770 ";"62.809.907 ";"3.653.400.749 ";"9.527.963 ";"12.079.013 ";"236.097 ";"73.308.895 ";"5.333.601.744 ";"11.063.494 ";"12.277.040 ";"763.256 ";"155.220.584 ";"10.039.278.245 ";"23.797.093 ";"28.867.166 "
" ";"2021";"Totale";"";"288.375 ";"10.783.905 ";"631.624.261 ";"2.042.729 ";"2.845.948 ";"238.577 ";"28.198.044 ";"1.691.209.302 ";"4.727.157 ";"6.206.369 ";"557.624 ";"132.370.608 ";"8.443.343.131 ";"21.230.666 ";"25.489.630 ";"634.986 ";"197.133.638 ";"15.691.846.873 ";"30.923.497 ";"33.019.255 ";"1.719.562 ";"368.486.195 ";"26.458.023.567 ";"58.924.050 ";"67.561.202 "
" ";"2022";"Maschi";"";"127.416 ";"4.806.717 ";"314.129.483 ";"951.356 ";"1.219.102 ";"110.442 ";"13.132.471 ";"877.800.641 ";"2.328.311 ";"2.845.682 ";"296.564 ";"71.595.845 ";"5.093.399.710 ";"12.095.001 ";"13.637.074 ";"474.502 ";"147.244.620 ";"12.334.654.614 ";"23.511.240 ";"24.674.099 ";"1.008.924 ";"236.779.653 ";"18.619.984.448 ";"38.885.908 ";"42.375.957 "
" ";" ";"Femmine";"";"129.253 ";"4.789.246 ";"272.737.982 ";"914.571 ";"1.312.130 ";"110.004 ";"13.106.251 ";"757.018.515 ";"2.157.396 ";"2.884.614 ";"253.497 ";"60.083.729 ";"3.641.653.145 ";"9.183.629 ";"11.421.955 ";"312.205 ";"96.890.352 ";"6.936.027.181 ";"14.509.241 ";"16.234.649 ";"804.959 ";"174.869.578 ";"11.607.436.823 ";"26.764.836 ";"31.853.348 "
