nace_r2,unit,anno,valore
C13-C15,CLV15_MEUR,2006,27637.3
C13-C15,CLV15_MEUR,2007,28123.6
C13-C15,CLV15_MEUR,2008,26994.7
C13-C15,CLV15_MEUR,2009,22077.7
C13-C15,CLV15_MEUR,2010,24267.9
C13-C15,CLV15_MEUR,2011,25178.5
C13-C15,CLV15_MEUR,2012,24076.2
C13-C15,CLV15_MEUR,2013,24513.3
C13-C15,CLV15_MEUR,2014,24550.9
C13-C15,CLV15_MEUR,2015,24428.6
C13-C15,CLV15_MEUR,2016,23937.3
C13-C15,CLV15_MEUR,2017,25351.1
C13-C15,CLV15_MEUR,2018,25550
C13-C15,CLV15_MEUR,2019,25624.3
C13-C15,CLV15_MEUR,2020,18890.7
C13-C15,CLV15_MEUR,2021,23346.9
C13-C15,CLV15_MEUR,2022,26715.7
C13-C15,CLV15_MEUR,2023,25961.4
C13-C15,CLV15_MEUR,2024,23940.8
C13-C15,CLV15_MEUR,2025,23796.8
C13-C15,CP_MEUR,1975,NA
C13-C15,CP_MEUR,1976,NA
C13-C15,CP_MEUR,1977,NA
C13-C15,CP_MEUR,1978,NA
C13-C15,CP_MEUR,1979,NA
C13-C15,CP_MEUR,1980,NA
C13-C15,CP_MEUR,1981,NA
C13-C15,CP_MEUR,1982,NA
C13-C15,CP_MEUR,1983,NA
C13-C15,CP_MEUR,1984,NA
C13-C15,CP_MEUR,1985,NA
C13-C15,CP_MEUR,1986,NA
C13-C15,CP_MEUR,1987,NA
C13-C15,CP_MEUR,1988,NA
C13-C15,CP_MEUR,1989,NA
C13-C15,CP_MEUR,1990,NA
C13-C15,CP_MEUR,1991,NA
C13-C15,CP_MEUR,1992,NA
C13-C15,CP_MEUR,1993,NA
C13-C15,CP_MEUR,1994,NA
C13-C15,CP_MEUR,1995,24701
C13-C15,CP_MEUR,1996,27232.3
C13-C15,CP_MEUR,1997,27861.3
C13-C15,CP_MEUR,1998,28080.1
C13-C15,CP_MEUR,1999,26742.7
C13-C15,CP_MEUR,2000,28301.1
C13-C15,CP_MEUR,2001,30016.1
C13-C15,CP_MEUR,2002,28907.1
C13-C15,CP_MEUR,2003,27553.1
C13-C15,CP_MEUR,2004,26394
C13-C15,CP_MEUR,2005,25552.9
C13-C15,CP_MEUR,2006,25347.5
C13-C15,CP_MEUR,2007,26545
C13-C15,CP_MEUR,2008,25877.5
C13-C15,CP_MEUR,2009,22115.6
C13-C15,CP_MEUR,2010,23249.8
C13-C15,CP_MEUR,2011,24534.3
C13-C15,CP_MEUR,2012,23210.1
C13-C15,CP_MEUR,2013,23569.4
C13-C15,CP_MEUR,2014,24071.7
C13-C15,CP_MEUR,2015,24428.6
C13-C15,CP_MEUR,2016,24734.2
C13-C15,CP_MEUR,2017,25532.6
C13-C15,CP_MEUR,2018,26342.4
C13-C15,CP_MEUR,2019,26560.8
C13-C15,CP_MEUR,2020,20874.4
C13-C15,CP_MEUR,2021,25368.3
C13-C15,CP_MEUR,2022,28159.6
C13-C15,CP_MEUR,2023,29634.4
C13-C15,CP_MEUR,2024,27489.7
C13-C15,CP_MEUR,2025,27424.9
C16,CLV15_MEUR,1975,NA
C16,CLV15_MEUR,1976,NA
C16,CLV15_MEUR,1977,NA
C16,CLV15_MEUR,1978,NA
C16,CLV15_MEUR,1979,NA
C16,CLV15_MEUR,1980,NA
C16,CLV15_MEUR,1981,NA
C16,CLV15_MEUR,1982,NA
C16,CLV15_MEUR,1983,NA
C16,CLV15_MEUR,1984,NA
C16,CLV15_MEUR,1985,NA
C16,CLV15_MEUR,1986,NA
C16,CLV15_MEUR,1987,NA
C16,CLV15_MEUR,1988,NA
C16,CLV15_MEUR,1989,NA
C16,CLV15_MEUR,1990,NA
C16,CLV15_MEUR,1991,NA
C16,CLV15_MEUR,1992,NA
C16,CLV15_MEUR,1993,NA
C16,CLV15_MEUR,1994,NA
C16,CLV15_MEUR,1995,7484.1
C16,CLV15_MEUR,1996,7347.7
C16,CLV15_MEUR,1997,7317.8
C16,CLV15_MEUR,1998,7720.5
C16,CLV15_MEUR,1999,8202.2
C16,CLV15_MEUR,2000,8690.1
C16,CLV15_MEUR,2001,8989.3
C16,CLV15_MEUR,2002,8303.5
C16,CLV15_MEUR,2003,8123.2
C16,CLV15_MEUR,2004,8225.1
C16,CLV15_MEUR,2005,7645.7
C16,CLV15_MEUR,2006,7843.5
C16,CLV15_MEUR,2007,7823.2
C16,CLV15_MEUR,2008,6949.7
C16,CLV15_MEUR,2009,5996.6
C16,CLV15_MEUR,2010,6114.9
C16,CLV15_MEUR,2011,6143.4
C16,CLV15_MEUR,2012,5375.6
C16,CLV15_MEUR,2013,4946.6
C16,CLV15_MEUR,2014,4758.1
C16,CLV15_MEUR,2015,4651.1
C16,CLV15_MEUR,2016,4708.8
C16,CLV15_MEUR,2017,4547.9
C16,CLV15_MEUR,2018,4524
C16,CLV15_MEUR,2019,4359.1
C16,CLV15_MEUR,2020,3645.1
C16,CLV15_MEUR,2021,4357.5
C16,CLV15_MEUR,2022,4743.5
C16,CLV15_MEUR,2023,4471.8
C16,CLV15_MEUR,2024,NA
C16,CLV15_MEUR,2025,NA
C16,CP_MEUR,1975,NA
C16,CP_MEUR,1976,NA
C16,CP_MEUR,1977,NA
C16,CP_MEUR,1978,NA
C16,CP_MEUR,1979,NA
C16,CP_MEUR,1980,NA
C16,CP_MEUR,1981,NA
C16,CP_MEUR,1982,NA
C16,CP_MEUR,1983,NA
C16,CP_MEUR,1984,NA
C16,CP_MEUR,1985,NA
C16,CP_MEUR,1986,NA
C16,CP_MEUR,1987,NA
C16,CP_MEUR,1988,NA
C16,CP_MEUR,1989,NA
C16,CP_MEUR,1990,NA
C16,CP_MEUR,1991,NA
C16,CP_MEUR,1992,NA
C16,CP_MEUR,1993,NA
C16,CP_MEUR,1994,NA
C16,CP_MEUR,1995,5221.9
C16,CP_MEUR,1996,5771.3
C16,CP_MEUR,1997,5826.4
C16,CP_MEUR,1998,6127.5
C16,CP_MEUR,1999,6422
C16,CP_MEUR,2000,6673
C16,CP_MEUR,2001,7558.2
C16,CP_MEUR,2002,7056.4
C16,CP_MEUR,2003,6788.3
C16,CP_MEUR,2004,6878
C16,CP_MEUR,2005,6611.5
C16,CP_MEUR,2006,6829.1
C16,CP_MEUR,2007,7043.7
C16,CP_MEUR,2008,6744.1
C16,CP_MEUR,2009,5933.4
C16,CP_MEUR,2010,5861
C16,CP_MEUR,2011,5846.9
C16,CP_MEUR,2012,5131.7
