categoria,codice,mese,indice
"Totale industria escl. costruzioni",0020,2024-12,80.2
"Totale industria escl. costruzioni",0020,2025-01,89.7
"Totale industria escl. costruzioni",0020,2025-02,95.6
"Totale industria escl. costruzioni",0020,2025-03,103.2
"Totale industria escl. costruzioni",0020,2025-04,93.4
"Totale industria escl. costruzioni",0020,2025-05,100.4
"Totale industria escl. costruzioni",0020,2025-06,98
"Totale industria escl. costruzioni",0020,2025-07,104
"Totale industria escl. costruzioni",0020,2025-08,61.7
"Totale industria escl. costruzioni",0020,2025-09,100.2
"Totale industria escl. costruzioni",0020,2025-10,101.4
"Totale industria escl. costruzioni",0020,2025-11,99.7
"Totale industria escl. costruzioni",0020,2025-12,82.4
"Totale industria escl. costruzioni",0020,2026-01,89.2
"Totale industria escl. costruzioni",0020,2026-02,96
"Totale industria escl. costruzioni",0020,2026-03,104.7
"Beni intermedi",0040,2000-01,128.8
"Beni intermedi",0040,2000-02,140.2
"Beni intermedi",0040,2000-03,154.7
"Beni intermedi",0040,2000-04,141.2
"Beni intermedi",0040,2000-05,156.5
"Beni intermedi",0040,2000-06,151
"Beni intermedi",0040,2000-07,153.6
"Beni intermedi",0040,2000-08,68
"Beni intermedi",0040,2000-09,151.6
"Beni intermedi",0040,2000-10,157
"Beni intermedi",0040,2000-11,151.9
"Beni intermedi",0040,2000-12,126.8
"Beni intermedi",0040,2001-01,133.8
"Beni intermedi",0040,2001-02,143.8
"Beni intermedi",0040,2001-03,158.1
"Beni intermedi",0040,2001-04,141.6
"Beni intermedi",0040,2001-05,156.6
"Beni intermedi",0040,2001-06,148.8
"Beni intermedi",0040,2001-07,151.2
"Beni intermedi",0040,2001-08,65
"Beni intermedi",0040,2001-09,148.6
"Beni intermedi",0040,2001-10,150.6
"Beni intermedi",0040,2001-11,138.2
"Beni intermedi",0040,2001-12,111.3
"Beni intermedi",0040,2002-01,123.2
"Beni intermedi",0040,2002-02,137.8
"Beni intermedi",0040,2002-03,152
"Beni intermedi",0040,2002-04,135.1
"Beni intermedi",0040,2002-05,150.4
"Beni intermedi",0040,2002-06,144.5
"Beni intermedi",0040,2002-07,150.6
"Beni intermedi",0040,2002-08,60.2
"Beni intermedi",0040,2002-09,147.8
"Beni intermedi",0040,2002-10,149.7
"Beni intermedi",0040,2002-11,143.6
"Beni intermedi",0040,2002-12,113.9
"Beni intermedi",0040,2003-01,130.5
"Beni intermedi",0040,2003-02,137.9
"Beni intermedi",0040,2003-03,152.3
"Beni intermedi",0040,2003-04,138.1
"Beni intermedi",0040,2003-05,147.6
"Beni intermedi",0040,2003-06,141.1
"Beni intermedi",0040,2003-07,150
"Beni intermedi",0040,2003-08,57.8
"Beni intermedi",0040,2003-09,144.4
"Beni intermedi",0040,2003-10,149.1
"Beni intermedi",0040,2003-11,141.5
"Beni intermedi",0040,2003-12,113.3
"Beni intermedi",0040,2004-01,126
"Beni intermedi",0040,2004-02,137.1
"Beni intermedi",0040,2004-03,145.3
"Beni intermedi",0040,2004-04,138.8
"Beni intermedi",0040,2004-05,149.1
"Beni intermedi",0040,2004-06,144.4
"Beni intermedi",0040,2004-07,152.4
"Beni intermedi",0040,2004-08,59.2
"Beni intermedi",0040,2004-09,148
"Beni intermedi",0040,2004-10,153.4
"Beni intermedi",0040,2004-11,141.8
"Beni intermedi",0040,2004-12,111.1
"Beni intermedi",0040,2005-01,125.7
"Beni intermedi",0040,2005-02,136.3
"Beni intermedi",0040,2005-03,148.2
"Beni intermedi",0040,2005-04,137.1
"Beni intermedi",0040,2005-05,142.7
"Beni intermedi",0040,2005-06,137
"Beni intermedi",0040,2005-07,149.7
"Beni intermedi",0040,2005-08,63.1
"Beni intermedi",0040,2005-09,145.5
"Beni intermedi",0040,2005-10,149.3
"Beni intermedi",0040,2005-11,142.1
"Beni intermedi",0040,2005-12,112.7
"Beni intermedi",0040,2006-01,124.6
"Beni intermedi",0040,2006-02,135.9
"Beni intermedi",0040,2006-03,148.6
"Beni intermedi",0040,2006-04,136.9
"Beni intermedi",0040,2006-05,150.6
"Beni intermedi",0040,2006-06,145.6
"Beni intermedi",0040,2006-07,152.4
"Beni intermedi",0040,2006-08,66.4
"Beni intermedi",0040,2006-09,150.9
"Beni intermedi",0040,2006-10,154.1
"Beni intermedi",0040,2006-11,143.9
"Beni intermedi",0040,2006-12,122.3
"Beni intermedi",0040,2007-01,129.7
"Beni intermedi",0040,2007-02,141.5
"Beni intermedi",0040,2007-03,154.6
"Beni intermedi",0040,2007-04,139.7
"Beni intermedi",0040,2007-05,152.5
"Beni intermedi",0040,2007-06,149.1
"Beni intermedi",0040,2007-07,155.2
"Beni intermedi",0040,2007-08,70.1
"Beni intermedi",0040,2007-09,154.2
"Beni intermedi",0040,2007-10,154
"Beni intermedi",0040,2007-11,141.1
"Beni intermedi",0040,2007-12,111.5
"Beni intermedi",0040,2008-01,130.3
"Beni intermedi",0040,2008-02,141.9
"Beni intermedi",0040,2008-03,154.9
"Beni intermedi",0040,2008-04,140.5
"Beni intermedi",0040,2008-05,145.8
"Beni intermedi",0040,2008-06,144.3
"Beni intermedi",0040,2008-07,149.3
"Beni intermedi",0040,2008-08,64.2
"Beni intermedi",0040,2008-09,140.3
"Beni intermedi",0040,2008-10,137.5
"Beni intermedi",0040,2008-11,121.6
"Beni intermedi",0040,2008-12,84
"Beni intermedi",0040,2009-01,95.9
"Beni intermedi",0040,2009-02,97.8
"Beni intermedi",0040,2009-03,103.7
"Beni intermedi",0040,2009-04,93.4
"Beni intermedi",0040,2009-05,104.4
"Beni intermedi",0040,2009-06,101.5
"Beni intermedi",0040,2009-07,112.7
"Beni intermedi",0040,2009-08,43.8
"Beni intermedi",0040,2009-09,112.2
"Beni intermedi",0040,2009-10,116
"Beni intermedi",0040,2009-11,106.4
"Beni intermedi",0040,2009-12,78.4
"Beni intermedi",0040,2010-01,92.9
"Beni intermedi",0040,2010-02,104.6
"Beni intermedi",0040,2010-03,115.3
"Beni intermedi",0040,2010-04,106.8
"Beni intermedi",0040,2010-05,116
"Beni intermedi",0040,2010-06,115.2
"Beni intermedi",0040,2010-07,122.7
"Beni intermedi",0040,2010-08,53.3
"Beni intermedi",0040,2010-09,119.1
"Beni intermedi",0040,2010-10,121.4
"Beni intermedi",0040,2010-11,115
"Beni intermedi",0040,2010-12,87.6
"Beni intermedi",0040,2011-01,98.3
"Beni intermedi",0040,2011-02,113
"Beni intermedi",0040,2011-03,121.6
"Beni intermedi",0040,2011-04,113
"Beni intermedi",0040,2011-05,120.3
"Beni intermedi",0040,2011-06,115.5
"Beni intermedi",0040,2011-07,122.8
"Beni intermedi",0040,2011-08,58.5
"Beni intermedi",0040,2011-09,115.1
"Beni intermedi",0040,2011-10,116.9
"Beni intermedi",0040,2011-11,108.7
"Beni intermedi",0040,2011-12,83.4
"Beni intermedi",0040,2012-01,92.6
"Beni intermedi",0040,2012-02,98.7
"Beni intermedi",0040,2012-03,112.1
"Beni intermedi",0040,2012-04,98.8
"Beni intermedi",0040,2012-05,111.6
"Beni intermedi",0040,2012-06,105.8
"Beni intermedi",0040,2012-07,112.2
"Beni intermedi",0040,2012-08,53.1
"Beni intermedi",0040,2012-09,106.4
"Beni intermedi",0040,2012-10,107.3
"Beni intermedi",0040,2012-11,97.2
"Beni intermedi",0040,2012-12,73.4
"Beni intermedi",0040,2013-01,87.5
"Beni intermedi",0040,2013-02,96.6
"Beni intermedi",0040,2013-03,104.6
"Beni intermedi",0040,2013-04,94.5
"Beni intermedi",0040,2013-05,105.9
"Beni intermedi",0040,2013-06,104.9
"Beni intermedi",0040,2013-07,111.5
"Beni intermedi",0040,2013-08,53.2
"Beni intermedi",0040,2013-09,106.5
"Beni intermedi",0040,2013-10,109.4
"Beni intermedi",0040,2013-11,102
"Beni intermedi",0040,2013-12,78
"Beni intermedi",0040,2014-01,91.1
"Beni intermedi",0040,2014-02,98.7
"Beni intermedi",0040,2014-03,107.7
"Beni intermedi",0040,2014-04,98.5
"Beni intermedi",0040,2014-05,106.2
"Beni intermedi",0040,2014-06,103.8
"Beni intermedi",0040,2014-07,110
"Beni intermedi",0040,2014-08,51.8
"Beni intermedi",0040,2014-09,104.4
"Beni intermedi",0040,2014-10,105.1
"Beni intermedi",0040,2014-11,98.6
"Beni intermedi",0040,2014-12,76
"Beni intermedi",0040,2015-01,87.8
"Beni intermedi",0040,2015-02,96
"Beni intermedi",0040,2015-03,105.9
"Beni intermedi",0040,2015-04,96.5
"Beni intermedi",0040,2015-05,105.9
"Beni intermedi",0040,2015-06,101.7
"Beni intermedi",0040,2015-07,108
"Beni intermedi",0040,2015-08,52.7
