geo,nace_r2,anno,indice
DE,C19,1984,NA
DE,C19,1985,NA
DE,C19,1986,NA
DE,C19,1987,NA
DE,C19,1988,NA
DE,C19,1989,NA
DE,C19,1990,NA
DE,C19,1991,98.1
DE,C19,1992,98.4
DE,C19,1993,99.5
DE,C19,1994,102.2
DE,C19,1995,102.8
DE,C19,1996,102.6
DE,C19,1997,97.5
DE,C19,1998,105.8
DE,C19,1999,106.6
DE,C19,2000,108.4
DE,C19,2001,105.7
DE,C19,2002,104.6
DE,C19,2003,104.1
DE,C19,2004,114.5
DE,C19,2005,118.8
DE,C19,2006,118.2
DE,C19,2007,117.1
DE,C19,2008,116.8
DE,C19,2009,107
DE,C19,2010,105.4
DE,C19,2011,105.3
DE,C19,2012,106.8
DE,C19,2013,104.2
DE,C19,2014,103.5
DE,C19,2015,106.2
DE,C19,2016,106.4
DE,C19,2017,105.9
DE,C19,2018,102.9
DE,C19,2019,100.1
DE,C19,2020,98.9
DE,C19,2021,100.1
DE,C19,2022,107.7
DE,C19,2023,91.3
DE,C19,2024,96.7
DE,C19,2025,94.9
DE,C20,1953,NA
DE,C20,1954,NA
DE,C20,1955,NA
DE,C20,1956,NA
DE,C20,1957,NA
DE,C20,1958,NA
DE,C20,1959,NA
DE,C20,1960,NA
DE,C20,1961,NA
DE,C20,1962,NA
DE,C20,1963,NA
DE,C20,1964,NA
DE,C20,1965,NA
DE,C20,1966,NA
DE,C20,1967,NA
DE,C20,1968,NA
DE,C20,1969,NA
DE,C20,1970,NA
DE,C20,1971,NA
DE,C20,1972,NA
DE,C20,1973,NA
DE,C20,1974,NA
DE,C20,1975,NA
DE,C20,1976,NA
DE,C20,1977,NA
DE,C20,1978,NA
DE,C20,1979,NA
DE,C20,1980,NA
DE,C20,1981,NA
DE,C20,1982,NA
DE,C20,1983,NA
DE,C20,1984,NA
DE,C20,1985,NA
DE,C20,1986,NA
DE,C20,1987,NA
DE,C20,1988,NA
DE,C20,1989,NA
DE,C20,1990,NA
DE,C20,1991,73.9
DE,C20,1992,74
DE,C20,1993,71.5
DE,C20,1994,76.5
DE,C20,1995,78.3
DE,C20,1996,81.5
DE,C20,1997,87.1
DE,C20,1998,87
DE,C20,1999,90.6
DE,C20,2000,94.2
DE,C20,2001,90.6
DE,C20,2002,94.4
DE,C20,2003,93.5
DE,C20,2004,96.5
DE,C20,2005,99.5
DE,C20,2006,103.5
DE,C20,2007,105.6
DE,C20,2008,101.1
DE,C20,2009,86.8
DE,C20,2010,101.8
DE,C20,2011,102.8
DE,C20,2012,100.4
DE,C20,2013,101
DE,C20,2014,99.6
DE,C20,2015,98.9
DE,C20,2016,99.1
DE,C20,2017,100.8
DE,C20,2018,98.7
DE,C20,2019,95.7
DE,C20,2020,94.3
DE,C20,2021,99.6
DE,C20,2022,89.7
DE,C20,2023,78.6
DE,C20,2024,81
DE,C20,2025,78.4
DE,C21,1953,NA
DE,C21,1954,NA
DE,C21,1955,NA
DE,C21,1956,NA
DE,C21,1957,NA
DE,C21,1958,NA
DE,C21,1959,NA
DE,C21,1960,NA
DE,C21,1961,NA
DE,C21,1962,NA
DE,C21,1963,NA
DE,C21,1964,NA
DE,C21,1965,NA
DE,C21,1966,NA
DE,C21,1967,NA
DE,C21,1968,NA
DE,C21,1969,NA
DE,C21,1970,NA
DE,C21,1971,NA
DE,C21,1972,NA
DE,C21,1973,NA
DE,C21,1974,NA
DE,C21,1975,NA
DE,C21,1976,NA
DE,C21,1977,NA
DE,C21,1978,NA
DE,C21,1979,NA
DE,C21,1980,NA
DE,C21,1981,NA
DE,C21,1982,NA
DE,C21,1983,NA
DE,C21,1984,NA
DE,C21,1985,NA
DE,C21,1986,NA
DE,C21,1987,NA
DE,C21,1988,NA
DE,C21,1989,NA
DE,C21,1990,NA
DE,C21,1991,44.7
DE,C21,1992,46.7
DE,C21,1993,43
DE,C21,1994,45.2
DE,C21,1995,46.3
DE,C21,1996,47.8
DE,C21,1997,47.2
DE,C21,1998,47.3
DE,C21,1999,48.2
DE,C21,2000,48.1
DE,C21,2001,50.7
DE,C21,2002,51.8
DE,C21,2003,54
DE,C21,2004,54
DE,C21,2005,60.4
DE,C21,2006,63.7
DE,C21,2007,71.4
DE,C21,2008,73.2
DE,C21,2009,71.6
DE,C21,2010,71.9
DE,C21,2011,75.4
DE,C21,2012,74
DE,C21,2013,78.1
DE,C21,2014,82.2
DE,C21,2015,85.4
DE,C21,2016,88
DE,C21,2017,93
DE,C21,2018,108.9
DE,C21,2019,91.9
DE,C21,2020,94.1
DE,C21,2021,99.5
DE,C21,2022,104.8
DE,C21,2023,101.5
DE,C21,2024,99
DE,C21,2025,103.7
DE,C22,1953,NA
DE,C22,1954,NA
DE,C22,1955,NA
DE,C22,1956,NA
DE,C22,1957,NA
DE,C22,1958,NA
DE,C22,1959,NA
DE,C22,1960,NA
DE,C22,1961,NA
DE,C22,1962,NA
DE,C22,1963,NA
DE,C22,1964,NA
DE,C22,1965,NA
DE,C22,1966,NA
DE,C22,1967,NA
DE,C22,1968,NA
DE,C22,1969,NA
DE,C22,1970,NA
DE,C22,1971,NA
DE,C22,1972,NA
DE,C22,1973,NA
DE,C22,1974,NA
DE,C22,1975,NA
DE,C22,1976,NA
DE,C22,1977,NA
DE,C22,1978,NA
DE,C22,1979,NA
DE,C22,1980,NA
DE,C22,1981,NA
DE,C22,1982,NA
DE,C22,1983,NA
DE,C22,1984,NA
DE,C22,1985,NA
DE,C22,1986,NA
DE,C22,1987,NA
DE,C22,1988,NA
DE,C22,1989,NA
DE,C22,1990,NA
DE,C22,1991,73.3
DE,C22,1992,71.8
DE,C22,1993,66.1
DE,C22,1994,70.5
DE,C22,1995,71
DE,C22,1996,70.3
DE,C22,1997,74
DE,C22,1998,77.2
DE,C22,1999,78.3
DE,C22,2000,81.7
DE,C22,2001,81
DE,C22,2002,82.2
DE,C22,2003,83.4
DE,C22,2004,85.5
DE,C22,2005,86.1
DE,C22,2006,90.2
DE,C22,2007,95.9
DE,C22,2008,92.8
DE,C22,2009,81.7
DE,C22,2010,92.2
DE,C22,2011,97.8
DE,C22,2012,96.2
DE,C22,2013,97.9
DE,C22,2014,98.4
DE,C22,2015,100
DE,C22,2016,102
DE,C22,2017,106
DE,C22,2018,106.2
DE,C22,2019,103.7
DE,C22,2020,94.4
DE,C22,2021,99.4
DE,C22,2022,96.6
DE,C22,2023,91.1
DE,C22,2024,87.3
DE,C22,2025,85.6
DE,C23,1953,NA
DE,C23,1954,NA
DE,C23,1955,NA
DE,C23,1956,NA
DE,C23,1957,NA
DE,C23,1958,NA
DE,C23,1959,NA
DE,C23,1960,NA
DE,C23,1961,NA
DE,C23,1962,NA
DE,C23,1963,NA
DE,C23,1964,NA
DE,C23,1965,NA
DE,C23,1966,NA
DE,C23,1967,NA
DE,C23,1968,NA
DE,C23,1969,NA
DE,C23,1970,NA
DE,C23,1971,NA
DE,C23,1972,NA
DE,C23,1973,NA
DE,C23,1974,NA
DE,C23,1975,NA
DE,C23,1976,NA
DE,C23,1977,NA
DE,C23,1978,NA
DE,C23,1979,NA
DE,C23,1980,NA
DE,C23,1981,NA
DE,C23,1982,NA
DE,C23,1983,NA
DE,C23,1984,NA
DE,C23,1985,NA
DE,C23,1986,NA
DE,C23,1987,NA
DE,C23,1988,NA
DE,C23,1989,NA
DE,C23,1990,NA
DE,C23,1991,105.8
DE,C23,1992,109
DE,C23,1993,106.6
DE,C23,1994,113.8
DE,C23,1995,111
DE,C23,1996,105.9
DE,C23,1997,105.1
DE,C23,1998,105.5
DE,C23,1999,106.3
DE,C23,2000,107.1
DE,C23,2001,100.7
DE,C23,2002,96
DE,C23,2003,93.8
DE,C23,2004,94.1
DE,C23,2005,90.9
DE,C23,2006,96.6
DE,C23,2007,98
DE,C23,2008,94.3
DE,C23,2009,83.2
DE,C23,2010,89.1
DE,C23,2011,96.6
DE,C23,2012,92.7
DE,C23,2013,92.4
DE,C23,2014,94.5
DE,C23,2015,93.9
DE,C23,2016,96.5
DE,C23,2017,98.7
DE,C23,2018,99
DE,C23,2019,97.6
DE,C23,2020,94.9
DE,C23,2021,99.3
DE,C23,2022,97
DE,C23,2023,83.4
DE,C23,2024,80
DE,C23,2025,78.2
DE,C24,1953,NA
DE,C24,1954,NA
DE,C24,1955,NA
DE,C24,1956,NA
DE,C24,1957,NA
DE,C24,1958,NA
DE,C24,1959,NA
DE,C24,1960,NA
DE,C24,1961,NA
DE,C24,1962,NA
DE,C24,1963,NA
DE,C24,1964,NA
DE,C24,1965,NA
DE,C24,1966,NA
DE,C24,1967,NA
DE,C24,1968,NA
DE,C24,1969,NA
DE,C24,1970,NA
DE,C24,1971,NA
DE,C24,1972,NA
DE,C24,1973,NA
DE,C24,1974,NA
DE,C24,1975,NA
DE,C24,1976,NA
DE,C24,1977,NA
DE,C24,1978,NA
DE,C24,1979,NA
DE,C24,1980,NA
DE,C24,1981,NA
DE,C24,1982,NA
DE,C24,1983,NA
DE,C24,1984,NA
DE,C24,1985,NA
DE,C24,1986,NA
DE,C24,1987,NA
DE,C24,1988,NA
DE,C24,1989,NA
DE,C24,1990,NA
