branca,codice,misura,anno,valore_migliaia
"Farmaceutica",C21,unita_di_lavoro,1999,67.3
"Farmaceutica",C21,unita_di_lavoro,2000,68.2
"Farmaceutica",C21,unita_di_lavoro,2001,70.4
"Farmaceutica",C21,unita_di_lavoro,2002,71.8
"Farmaceutica",C21,unita_di_lavoro,2003,71.6
"Farmaceutica",C21,unita_di_lavoro,2004,70.4
"Farmaceutica",C21,unita_di_lavoro,2005,67.5
"Farmaceutica",C21,unita_di_lavoro,2006,66
"Farmaceutica",C21,unita_di_lavoro,2007,66.7
"Farmaceutica",C21,unita_di_lavoro,2008,64.6
"Farmaceutica",C21,unita_di_lavoro,2009,61.4
"Farmaceutica",C21,unita_di_lavoro,2010,59.4
"Farmaceutica",C21,unita_di_lavoro,2011,58.4
"Farmaceutica",C21,unita_di_lavoro,2012,57.8
"Farmaceutica",C21,unita_di_lavoro,2013,54.9
"Farmaceutica",C21,unita_di_lavoro,2014,52.4
"Farmaceutica",C21,unita_di_lavoro,2015,53.3
"Farmaceutica",C21,unita_di_lavoro,2016,54.7
"Farmaceutica",C21,unita_di_lavoro,2017,56.1
"Farmaceutica",C21,unita_di_lavoro,2018,57.7
"Farmaceutica",C21,unita_di_lavoro,2019,58.5
"Farmaceutica",C21,unita_di_lavoro,2020,58.1
"Farmaceutica",C21,unita_di_lavoro,2021,57.1
"Farmaceutica",C21,unita_di_lavoro,2022,58.2
"Farmaceutica",C21,unita_di_lavoro,2023,58.6
"Farmaceutica",C21,unita_di_lavoro,2024,61.3
"Farmaceutica",C21,unita_di_lavoro,2025,62.6
"Gomma plastica minerali non met.",C22_23,unita_di_lavoro,1995,438.1
"Gomma plastica minerali non met.",C22_23,unita_di_lavoro,1996,441.7
"Gomma plastica minerali non met.",C22_23,unita_di_lavoro,1997,447.4
"Gomma plastica minerali non met.",C22_23,unita_di_lavoro,1998,450.4
"Gomma plastica minerali non met.",C22_23,unita_di_lavoro,1999,454.7
"Gomma plastica minerali non met.",C22_23,unita_di_lavoro,2000,458
"Gomma plastica minerali non met.",C22_23,unita_di_lavoro,2001,461.1
"Gomma plastica minerali non met.",C22_23,unita_di_lavoro,2002,466
"Gomma plastica minerali non met.",C22_23,unita_di_lavoro,2003,458.2
