DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,MARITAL_STATUS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_MARITAL_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:22_289(1.0),A,001144,JAN,9,TOTAL,99,2022-01-01,1300.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001145,JAN,9,TOTAL,99,2022-01-01,57.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001146,JAN,9,TOTAL,99,2022-01-01,3777.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001147,JAN,9,TOTAL,99,2022-01-01,658.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001148,JAN,9,TOTAL,99,2022-01-01,4181.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001149,JAN,9,TOTAL,99,2022-01-01,805.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001150,JAN,9,TOTAL,99,2022-01-01,1291.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001152,JAN,9,TOTAL,99,2022-01-01,736.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001153,JAN,9,TOTAL,99,2022-01-01,387.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001154,JAN,9,TOTAL,99,2022-01-01,642.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001155,JAN,9,TOTAL,99,2022-01-01,328.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001156,JAN,9,TOTAL,99,2022-01-01,56193.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001157,JAN,9,TOTAL,99,2022-01-01,41.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001158,JAN,9,TOTAL,99,2022-01-01,736.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001159,JAN,9,TOTAL,99,2022-01-01,970.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001160,JAN,9,TOTAL,99,2022-01-01,3304.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001161,JAN,9,TOTAL,99,2022-01-01,5118.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001162,JAN,9,TOTAL,99,2022-01-01,858.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001163,JAN,9,TOTAL,99,2022-01-01,853.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001164,JAN,9,TOTAL,99,2022-01-01,46458.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001165,JAN,9,TOTAL,99,2022-01-01,107.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001166,JAN,9,TOTAL,99,2022-01-01,6803.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001167,JAN,9,TOTAL,99,2022-01-01,283.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001168,JAN,9,TOTAL,99,2022-01-01,7830.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001169,JAN,9,TOTAL,99,2022-01-01,516.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001170,JAN,9,TOTAL,99,2022-01-01,1455.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001171,JAN,9,TOTAL,99,2022-01-01,23044.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001172,JAN,9,TOTAL,99,2022-01-01,756.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001173,JAN,9,TOTAL,99,2022-01-01,1153.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001174,JAN,9,TOTAL,99,2022-01-01,936.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001175,JAN,9,TOTAL,99,2022-01-01,3293.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001176,JAN,9,TOTAL,99,2022-01-01,1176.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001177,JAN,9,TOTAL,99,2022-01-01,839.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001178,JAN,9,TOTAL,99,2022-01-01,1992.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001179,JAN,9,TOTAL,99,2022-01-01,412.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001180,JAN,9,TOTAL,99,2022-01-01,1148.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001181,JAN,9,TOTAL,99,2022-01-01,3635.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001183,JAN,9,TOTAL,99,2022-01-01,4046.0,,,FILTER__ITC1,,,,,,,
