DATAFLOW,FREQ,REF_AREA,DATA_TYPE,MEASURE,SEX,AGE,EDU_LEV_HIGHEST,LABOUR_PROFESS_STATUS_B,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_MEASURE,NOTE_SEX,NOTE_AGE,NOTE_EDU_LEV_HIGHEST,NOTE_LABOUR_PROFESS_STATUS_B,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD2,11_BIC_VINO,HSC,9,Y_GE11,99,99,2023,11.4,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD2,11_BIC_VINO,HSC,9,Y_GE11,99,99,2024,11.2,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD2,11_BIC_VINO,HSC,9,Y_GE11,99,99,2025,11.6,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD2,11_PIU_VINO,HSC,9,Y_GE11,99,99,2023,1.7,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD2,11_PIU_VINO,HSC,9,Y_GE11,99,99,2024,1.2,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD2,11_PIU_VINO,HSC,9,Y_GE11,99,99,2025,1.3,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD2,11_VINO,HSC,9,Y_GE11,99,99,2023,53.3,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD2,11_VINO,HSC,9,Y_GE11,99,99,2024,53.4,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD2,11_VINO,HSC,9,Y_GE11,99,99,2025,56.9,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD3,11_BIC_VINO,HSC,9,Y_GE11,99,99,2023,14.8,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD3,11_BIC_VINO,HSC,9,Y_GE11,99,99,2024,15.5,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD3,11_BIC_VINO,HSC,9,Y_GE11,99,99,2025,14.3,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD3,11_PIU_VINO,HSC,9,Y_GE11,99,99,2023,2.2,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD3,11_PIU_VINO,HSC,9,Y_GE11,99,99,2024,1.8,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD3,11_PIU_VINO,HSC,9,Y_GE11,99,99,2025,1.5,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD3,11_VINO,HSC,9,Y_GE11,99,99,2023,59.8,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD3,11_VINO,HSC,9,Y_GE11,99,99,2024,58.8,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD3,11_VINO,HSC,9,Y_GE11,99,99,2025,57.6,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD4,11_BIC_VINO,HSC,9,Y_GE11,99,99,2023,15.8,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD4,11_BIC_VINO,HSC,9,Y_GE11,99,99,2024,13.5,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD4,11_BIC_VINO,HSC,9,Y_GE11,99,99,2025,12.9,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD4,11_PIU_VINO,HSC,9,Y_GE11,99,99,2023,1.4,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD4,11_PIU_VINO,HSC,9,Y_GE11,99,99,2024,1.4,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD4,11_PIU_VINO,HSC,9,Y_GE11,99,99,2025,2.1,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD4,11_VINO,HSC,9,Y_GE11,99,99,2023,58,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD4,11_VINO,HSC,9,Y_GE11,99,99,2024,55.3,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD4,11_VINO,HSC,9,Y_GE11,99,99,2025,58.6,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD5,11_BIC_VINO,HSC,9,Y_GE11,99,99,2023,15.9,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD5,11_BIC_VINO,HSC,9,Y_GE11,99,99,2024,12.8,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD5,11_BIC_VINO,HSC,9,Y_GE11,99,99,2025,14.1,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD5,11_PIU_VINO,HSC,9,Y_GE11,99,99,2023,2.2,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD5,11_PIU_VINO,HSC,9,Y_GE11,99,99,2024,2,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD5,11_PIU_VINO,HSC,9,Y_GE11,99,99,2025,1.9,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD5,11_VINO,HSC,9,Y_GE11,99,99,2023,61.3,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD5,11_VINO,HSC,9,Y_GE11,99,99,2024,59.6,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD5,11_VINO,HSC,9,Y_GE11,99,99,2025,59.1,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE1,11_BIC_VINO,HSC,9,Y_GE11,99,99,2023,18.6,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE1,11_BIC_VINO,HSC,9,Y_GE11,99,99,2024,15,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE1,11_BIC_VINO,HSC,9,Y_GE11,99,99,2025,16.1,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE1,11_PIU_VINO,HSC,9,Y_GE11,99,99,2023,2.6,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE1,11_PIU_VINO,HSC,9,Y_GE11,99,99,2024,2.5,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE1,11_PIU_VINO,HSC,9,Y_GE11,99,99,2025,2.7,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE1,11_VINO,HSC,9,Y_GE11,99,99,2023,60.4,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE1,11_VINO,HSC,9,Y_GE11,99,99,2024,59.8,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE1,11_VINO,HSC,9,Y_GE11,99,99,2025,58.3,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE2,11_BIC_VINO,HSC,9,Y_GE11,99,99,2023,16.5,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE2,11_BIC_VINO,HSC,9,Y_GE11,99,99,2024,14.2,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE2,11_BIC_VINO,HSC,9,Y_GE11,99,99,2025,13,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE2,11_PIU_VINO,HSC,9,Y_GE11,99,99,2023,2.7,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE2,11_PIU_VINO,HSC,9,Y_GE11,99,99,2024,2.3,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE2,11_PIU_VINO,HSC,9,Y_GE11,99,99,2025,2.5,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE2,11_VINO,HSC,9,Y_GE11,99,99,2023,57,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE2,11_VINO,HSC,9,Y_GE11,99,99,2024,58.5,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE2,11_VINO,HSC,9,Y_GE11,99,99,2025,55.6,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE3,11_BIC_VINO,HSC,9,Y_GE11,99,99,2023,14.8,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE3,11_BIC_VINO,HSC,9,Y_GE11,99,99,2024,15.8,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE3,11_BIC_VINO,HSC,9,Y_GE11,99,99,2025,13.6,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE3,11_PIU_VINO,HSC,9,Y_GE11,99,99,2023,2.4,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE3,11_PIU_VINO,HSC,9,Y_GE11,99,99,2024,2.3,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE3,11_PIU_VINO,HSC,9,Y_GE11,99,99,2025,2,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE3,11_VINO,HSC,9,Y_GE11,99,99,2023,56.2,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE3,11_VINO,HSC,9,Y_GE11,99,99,2024,58.1,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE3,11_VINO,HSC,9,Y_GE11,99,99,2025,56.3,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE4,11_BIC_VINO,HSC,9,Y_GE11,99,99,2023,12.4,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE4,11_BIC_VINO,HSC,9,Y_GE11,99,99,2024,12.4,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE4,11_BIC_VINO,HSC,9,Y_GE11,99,99,2025,11.3,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE4,11_PIU_VINO,HSC,9,Y_GE11,99,99,2023,1.3,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE4,11_PIU_VINO,HSC,9,Y_GE11,99,99,2024,1.5,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE4,11_PIU_VINO,HSC,9,Y_GE11,99,99,2025,1.6,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE4,11_VINO,HSC,9,Y_GE11,99,99,2023,55.8,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE4,11_VINO,HSC,9,Y_GE11,99,99,2024,55.9,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITE4,11_VINO,HSC,9,Y_GE11,99,99,2025,54.1,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITF1,11_BIC_VINO,HSC,9,Y_GE11,99,99,2023,15.3,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITF1,11_BIC_VINO,HSC,9,Y_GE11,99,99,2024,11.7,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITF1,11_BIC_VINO,HSC,9,Y_GE11,99,99,2025,10.5,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITF1,11_PIU_VINO,HSC,9,Y_GE11,99,99,2023,2,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITF1,11_PIU_VINO,HSC,9,Y_GE11,99,99,2024,1.9,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITF1,11_PIU_VINO,HSC,9,Y_GE11,99,99,2025,1.8,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITF1,11_VINO,HSC,9,Y_GE11,99,99,2023,59.1,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITF1,11_VINO,HSC,9,Y_GE11,99,99,2024,53.6,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITF1,11_VINO,HSC,9,Y_GE11,99,99,2025,51.5,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITF2,11_BIC_VINO,HSC,9,Y_GE11,99,99,2023,18.1,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITF2,11_BIC_VINO,HSC,9,Y_GE11,99,99,2024,14.6,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITF2,11_BIC_VINO,HSC,9,Y_GE11,99,99,2025,13.6,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITF2,11_PIU_VINO,HSC,9,Y_GE11,99,99,2023,2.6,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITF2,11_PIU_VINO,HSC,9,Y_GE11,99,99,2024,2.7,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITF2,11_PIU_VINO,HSC,9,Y_GE11,99,99,2025,2.7,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITF2,11_VINO,HSC,9,Y_GE11,99,99,2023,54.6,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITF2,11_VINO,HSC,9,Y_GE11,99,99,2024,51.2,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITF2,11_VINO,HSC,9,Y_GE11,99,99,2025,50.2,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITF3,11_BIC_VINO,HSC,9,Y_GE11,99,99,2023,12,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITF3,11_BIC_VINO,HSC,9,Y_GE11,99,99,2024,9.8,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITF3,11_BIC_VINO,HSC,9,Y_GE11,99,99,2025,10.6,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITF3,11_PIU_VINO,HSC,9,Y_GE11,99,99,2023,2.5,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITF3,11_PIU_VINO,HSC,9,Y_GE11,99,99,2024,1.6,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITF3,11_PIU_VINO,HSC,9,Y_GE11,99,99,2025,1.7,,,,,,,,,,,,,
