DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:29_316(1.0),A,001258,FJAN,9,2020-01-01,16.0,,,,,,,,
IT1:29_316(1.0),A,001259,FJAN,9,2020-01-01,108.0,,,,,,,,
IT1:29_316(1.0),A,001260,FJAN,9,2020-01-01,195.0,,,,,,,,
IT1:29_316(1.0),A,001261,FJAN,9,2020-01-01,38.0,,,,,,,,
IT1:29_316(1.0),A,001262,FJAN,9,2020-01-01,97.0,,,,,,,,
IT1:29_316(1.0),A,001263,FJAN,9,2020-01-01,76.0,,,,,,,,
IT1:29_316(1.0),A,001264,FJAN,9,2020-01-01,26.0,,,,,,,,
IT1:29_316(1.0),A,001265,FJAN,9,2020-01-01,3129.0,,,,,,,,
IT1:29_316(1.0),A,001266,FJAN,9,2020-01-01,67.0,,,,,,,,
IT1:29_316(1.0),A,001267,FJAN,9,2020-01-01,63.0,,,,,,,,
IT1:29_316(1.0),A,001268,FJAN,9,2020-01-01,8.0,,,,,,,,
IT1:29_316(1.0),A,001269,FJAN,9,2020-01-01,377.0,,,,,,,,
IT1:29_316(1.0),A,001270,FJAN,9,2020-01-01,482.0,,,,,,,,
IT1:29_316(1.0),A,001271,FJAN,9,2020-01-01,59.0,,,,,,,,
IT1:29_316(1.0),A,001272,FJAN,9,2020-01-01,123659.0,,,,,,,,
IT1:29_316(1.0),A,001273,FJAN,9,2020-01-01,107.0,,,,,,,,
IT1:29_316(1.0),A,001274,FJAN,9,2020-01-01,29.0,,,,,,,,
IT1:29_316(1.0),A,001275,FJAN,9,2020-01-01,411.0,,,,,,,,
IT1:29_316(1.0),A,001276,FJAN,9,2020-01-01,227.0,,,,,,,,
IT1:29_316(1.0),A,001278,FJAN,9,2020-01-01,4.0,,,,,,,,
IT1:29_316(1.0),A,001279,FJAN,9,2020-01-01,29.0,,,,,,,,
IT1:29_316(1.0),A,001280,FJAN,9,2020-01-01,643.0,,,,,,,,
IT1:29_316(1.0),A,001281,FJAN,9,2020-01-01,3.0,,,,,,,,
IT1:29_316(1.0),A,001282,FJAN,9,2020-01-01,5.0,,,,,,,,
IT1:29_316(1.0),A,001283,FJAN,9,2020-01-01,83.0,,,,,,,,
IT1:29_316(1.0),A,001284,FJAN,9,2020-01-01,169.0,,,,,,,,
IT1:29_316(1.0),A,001285,FJAN,9,2020-01-01,65.0,,,,,,,,
IT1:29_316(1.0),A,001286,FJAN,9,2020-01-01,38.0,,,,,,,,
IT1:29_316(1.0),A,001287,FJAN,9,2020-01-01,194.0,,,,,,,,
IT1:29_316(1.0),A,001288,FJAN,9,2020-01-01,0.0,,,,,,,,
IT1:29_316(1.0),A,001289,FJAN,9,2020-01-01,38.0,,,,,,,,
IT1:29_316(1.0),A,001290,FJAN,9,2020-01-01,56.0,,,,,,,,
IT1:29_316(1.0),A,001291,FJAN,9,2020-01-01,19.0,,,,,,,,
IT1:29_316(1.0),A,001292,FJAN,9,2020-01-01,1337.0,,,,,,,,
IT1:29_316(1.0),A,001293,FJAN,9,2020-01-01,267.0,,,,,,,,
IT1:29_316(1.0),A,001294,FJAN,9,2020-01-01,56.0,,,,,,,,
IT1:29_316(1.0),A,001295,FJAN,9,2020-01-01,66.0,,,,,,,,
IT1:29_316(1.0),A,001296,FJAN,9,2020-01-01,12.0,,,,,,,,
IT1:29_316(1.0),A,001298,FJAN,9,2020-01-01,39.0,,,,,,,,
IT1:29_316(1.0),A,001299,FJAN,9,2020-01-01,272.0,,,,,,,,
IT1:29_316(1.0),A,001300,FJAN,9,2020-01-01,301.0,,,,,,,,
IT1:29_316(1.0),A,001301,FJAN,9,2020-01-01,53.0,,,,,,,,
IT1:29_316(1.0),A,001302,FJAN,9,2020-01-01,130.0,,,,,,,,
IT1:29_316(1.0),A,001303,FJAN,9,2020-01-01,132.0,,,,,,,,
IT1:29_316(1.0),A,001304,FJAN,9,2020-01-01,65.0,,,,,,,,
IT1:29_316(1.0),A,001305,FJAN,9,2020-01-01,58.0,,,,,,,,
IT1:29_316(1.0),A,001306,FJAN,9,2020-01-01,32.0,,,,,,,,
IT1:29_316(1.0),A,001307,FJAN,9,2020-01-01,252.0,,,,,,,,
IT1:29_316(1.0),A,001308,FJAN,9,2020-01-01,355.0,,,,,,,,
IT1:29_316(1.0),A,001309,FJAN,9,2020-01-01,649.0,,,,,,,,
IT1:29_316(1.0),A,001310,FJAN,9,2020-01-01,96.0,,,,,,,,
IT1:29_316(1.0),A,001311,FJAN,9,2020-01-01,67.0,,,,,,,,
IT1:29_316(1.0),A,001312,FJAN,9,2020-01-01,25.0,,,,,,,,
IT1:29_316(1.0),A,001313,FJAN,9,2020-01-01,16.0,,,,,,,,
IT1:29_316(1.0),A,001314,FJAN,9,2020-01-01,953.0,,,,,,,,
IT1:29_316(1.0),A,001315,FJAN,9,2020-01-01,317.0,,,,,,,,
IT1:29_316(1.0),A,001316,FJAN,9,2020-01-01,218.0,,,,,,,,
IT1:29_316(1.0),A,001317,FJAN,9,2020-01-01,72.0,,,,,,,,
IT1:29_316(1.0),A,001318,FJAN,9,2020-01-01,44.0,,,,,,,,
