DATAFLOW,LAST UPDATE,freq,unit,icha11_hf,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,HF3,FR,2013-01-01,1.28,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,HF3,IT,2013-01-01,2.0,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,TOT_HF,DE,2013-01-01,10.75,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,TOT_HF,ES,2013-01-01,9.14,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,TOT_HF,FR,2013-01-01,11.48,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,TOT_HF,IT,2013-01-01,8.79,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PPS_HAB,HF1,DE,2013-01-01,3046.16,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PPS_HAB,HF1,ES,2013-01-01,1441.19,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PPS_HAB,HF1,FR,2013-01-01,2537.0,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PPS_HAB,HF1,IT,2013-01-01,1688.22,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PPS_HAB,HF3,DE,2013-01-01,459.2,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PPS_HAB,HF3,ES,2013-01-01,498.23,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PPS_HAB,HF3,FR,2013-01-01,374.91,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PPS_HAB,HF3,IT,2013-01-01,510.69,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PPS_HAB,TOT_HF,DE,2013-01-01,3619.9,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PPS_HAB,TOT_HF,ES,2013-01-01,2055.41,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PPS_HAB,TOT_HF,FR,2013-01-01,3361.78,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PPS_HAB,TOT_HF,IT,2013-01-01,2245.53,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,HF1,DE,2014-01-01,3356.27,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,HF1,ES,2014-01-01,1419.15,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,HF1,EU27_2020,2014-01-01,2074.17,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,HF1,FR,2014-01-01,2845.93,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,HF1,IT,2014-01-01,1800.34,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,HF3,DE,2014-01-01,490.23,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,HF3,ES,2014-01-01,504.49,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,HF3,EU27_2020,2014-01-01,433.16,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,HF3,FR,2014-01-01,417.63,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,HF3,IT,2014-01-01,551.54,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,TOT_HF,DE,2014-01-01,3969.36,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,TOT_HF,ES,2014-01-01,2046.39,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,TOT_HF,EU27_2020,2014-01-01,2668.38,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,TOT_HF,FR,2014-01-01,3760.83,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,TOT_HF,IT,2014-01-01,2402.56,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,HF1,DE,2014-01-01,84.55,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,HF1,ES,2014-01-01,69.35,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,HF1,EU27_2020,2014-01-01,77.73,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,HF1,FR,2014-01-01,75.67,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,HF1,IT,2014-01-01,74.93,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,HF3,DE,2014-01-01,12.35,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,HF3,ES,2014-01-01,24.65,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,HF3,EU27_2020,2014-01-01,16.23,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,HF3,FR,2014-01-01,11.1,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,HF3,IT,2014-01-01,22.96,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,TOT_HF,DE,2014-01-01,100.0,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,TOT_HF,ES,2014-01-01,100.0,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,TOT_HF,EU27_2020,2014-01-01,100.0,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,TOT_HF,FR,2014-01-01,100.0,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,TOT_HF,IT,2014-01-01,100.0,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,HF1,DE,2014-01-01,9.11,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,HF1,ES,2014-01-01,6.35,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,HF1,EU27_2020,2014-01-01,7.74,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,HF1,FR,2014-01-01,8.76,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,HF1,IT,2014-01-01,6.64,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,HF3,DE,2014-01-01,1.33,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,HF3,ES,2014-01-01,2.26,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,HF3,EU27_2020,2014-01-01,1.62,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,HF3,FR,2014-01-01,1.29,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,HF3,IT,2014-01-01,2.03,,
