DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:26_295(1.0),A,ITF3,LIFEXP,1,Y0,2013-01-01,78.217,,,,,,,,,,
IT1:26_295(1.0),A,ITF3,LIFEXP,2,Y0,2013-01-01,83.085,,,,,,,,,,
IT1:26_295(1.0),A,ITF3,LIFEXP,9,Y0,2013-01-01,80.594,,,,,,,,,,
IT1:26_295(1.0),A,ITF6,LIFEXP,1,Y0,2013-01-01,79.545,,,,,,,,,,
IT1:26_295(1.0),A,ITF6,LIFEXP,2,Y0,2013-01-01,84.395,,,,,,,,,,
IT1:26_295(1.0),A,ITF6,LIFEXP,9,Y0,2013-01-01,81.912,,,,,,,,,,
IT1:26_295(1.0),A,ITG1,LIFEXP,1,Y0,2013-01-01,79.24,,,,,,,,,,
IT1:26_295(1.0),A,ITG1,LIFEXP,2,Y0,2013-01-01,83.578,,,,,,,,,,
IT1:26_295(1.0),A,ITG1,LIFEXP,9,Y0,2013-01-01,81.357,,,,,,,,,,
IT1:26_295(1.0),A,IT,LIFEXP,1,Y0,2014-01-01,80.317,,,,,,,,,,
IT1:26_295(1.0),A,IT,LIFEXP,2,Y0,2014-01-01,85.0,,,,,,,,,,
IT1:26_295(1.0),A,IT,LIFEXP,9,Y0,2014-01-01,82.604,,,,,,,,,,
IT1:26_295(1.0),A,ITC,LIFEXP,1,Y0,2014-01-01,80.64,,,,,,,,,,
IT1:26_295(1.0),A,ITC,LIFEXP,2,Y0,2014-01-01,85.335,,,,,,,,,,
IT1:26_295(1.0),A,ITC,LIFEXP,9,Y0,2014-01-01,82.933,,,,,,,,,,
IT1:26_295(1.0),A,ITC4,LIFEXP,1,Y0,2014-01-01,80.869,,,,,,,,,,
IT1:26_295(1.0),A,ITC4,LIFEXP,2,Y0,2014-01-01,85.553,,,,,,,,,,
IT1:26_295(1.0),A,ITC4,LIFEXP,9,Y0,2014-01-01,83.157,,,,,,,,,,
IT1:26_295(1.0),A,ITD,LIFEXP,1,Y0,2014-01-01,80.854,,,,,,,,,,
IT1:26_295(1.0),A,ITD,LIFEXP,2,Y0,2014-01-01,85.584,,,,,,,,,,
IT1:26_295(1.0),A,ITD,LIFEXP,9,Y0,2014-01-01,83.166,,,,,,,,,,
IT1:26_295(1.0),A,ITD10,LIFEXP,1,Y0,2014-01-01,81.199,,,,,,,,,,
IT1:26_295(1.0),A,ITD10,LIFEXP,2,Y0,2014-01-01,85.496,,,,,,,,,,
IT1:26_295(1.0),A,ITD10,LIFEXP,9,Y0,2014-01-01,83.299,,,,,,,,,,
IT1:26_295(1.0),A,ITDA,LIFEXP,1,Y0,2014-01-01,81.206,,,,,,,,,,
IT1:26_295(1.0),A,ITDA,LIFEXP,2,Y0,2014-01-01,85.858,,,,,,,,,,
IT1:26_295(1.0),A,ITDA,LIFEXP,9,Y0,2014-01-01,83.48,,,,,,,,,,
IT1:26_295(1.0),A,ITE,LIFEXP,1,Y0,2014-01-01,80.559,,,,,,,,,,
IT1:26_295(1.0),A,ITE,LIFEXP,2,Y0,2014-01-01,85.177,,,,,,,,,,
IT1:26_295(1.0),A,ITE,LIFEXP,9,Y0,2014-01-01,82.815,,,,,,,,,,
IT1:26_295(1.0),A,ITF,LIFEXP,1,Y0,2014-01-01,79.548,,,,,,,,,,
IT1:26_295(1.0),A,ITF,LIFEXP,2,Y0,2014-01-01,84.228,,,,,,,,,,
IT1:26_295(1.0),A,ITF,LIFEXP,9,Y0,2014-01-01,81.832,,,,,,,,,,
IT1:26_295(1.0),A,ITF3,LIFEXP,1,Y0,2014-01-01,78.566,,,,,,,,,,
