DATAFLOW,FREQ,REF_AREA,DATA_TYPE,HOSPITAL_TYPE,CLINICAL_SPECIALTY,MEDICAL_TECHNOLOGY,PROF_STATUS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_HOSPITAL_TYPE,NOTE_CLINICAL_SPECIALTY,NOTE_MEDICAL_TECHNOLOGY,NOTE_PROF_STATUS,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITC,19,TOT,99,ALL,ALL,2013-01-01,54571.0,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITD,111,TOT,99,ALL,ALL,2013-01-01,3.62,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITD,18,TOT,99,ALL,ALL,2013-01-01,170.0,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITD,19,TOT,99,ALL,ALL,2013-01-01,41891.0,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITE,111,TOT,99,ALL,ALL,2013-01-01,3.1,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITE,18,TOT,99,ALL,ALL,2013-01-01,231.0,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITE,19,TOT,99,ALL,ALL,2013-01-01,36804.0,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITF,111,TOT,99,ALL,ALL,2013-01-01,2.81,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITF,18,TOT,99,ALL,ALL,2013-01-01,280.0,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITF,19,TOT,99,ALL,ALL,2013-01-01,39493.0,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITG,111,TOT,99,ALL,ALL,2013-01-01,2.94,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITG,18,TOT,99,ALL,ALL,2013-01-01,165.0,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITG,19,TOT,99,ALL,ALL,2013-01-01,19665.0,,,,,,,,,,,,
