DATAFLOW,LAST UPDATE,freq,unit,wstatus,isco08,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,UK,2015-01-01,83.51,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,DE,2016-01-01,418.65,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,ES,2016-01-01,382.35,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,FR,2016-01-01,312.13,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,IT,2016-01-01,395.27,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,UK,2016-01-01,278.2,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2261,DE,2016-01-01,85.58,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2261,FR,2016-01-01,62.44,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2261,IT,2016-01-01,80.09,e,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2261,UK,2016-01-01,53.14,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,DE,2016-01-01,63.67,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,ES,2016-01-01,120.83,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,FR,2016-01-01,104.69,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,IT,2016-01-01,115.58,e,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,UK,2016-01-01,86.18,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,DE,2017-01-01,424.88,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,ES,2017-01-01,387.68,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,FR,2017-01-01,313.87,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,IT,2017-01-01,398.95,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,UK,2017-01-01,281.1,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2261,DE,2017-01-01,85.65,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2261,FR,2017-01-01,62.37,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2261,IT,2017-01-01,81.85,e,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2261,UK,2017-01-01,52.62,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,DE,2017-01-01,64.7,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,ES,2017-01-01,115.61,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,FR,2017-01-01,103.53,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,IT,2017-01-01,117.18,e,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,UK,2017-01-01,88.3,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,DE,2018-01-01,431.09,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,ES,2018-01-01,402.08,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,FR,2018-01-01,313.8,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,IT,2018-01-01,399.5,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,UK,2018-01-01,284.05,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2261,DE,2018-01-01,85.78,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2261,FR,2018-01-01,62.36,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2261,IT,2018-01-01,83.63,e,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2261,UK,2018-01-01,52.66,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,DE,2018-01-01,65.73,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,ES,2018-01-01,118.88,,
