DATAFLOW,LAST UPDATE,freq,unit,med_spec,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN,DE,2015-01-01,95.73,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN,ES,2015-01-01,74.79,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN,FR,2015-01-01,140.92,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN,IT,2015-01-01,88.28,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN_PRAC,DE,2015-01-01,70.66,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN_PRAC,ES,2015-01-01,74.79,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN_PRAC,FR,2015-01-01,91.36,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN_PRAC,IT,2015-01-01,73.53,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,MED_INT,DE,2015-01-01,37.13,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,MED_INT,ES,2015-01-01,22.79,de,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,MED_INT,FR,2015-01-01,6.3,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,MED_INT,IT,2015-01-01,40.81,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PAED,DE,2015-01-01,16.71,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PAED,ES,2015-01-01,25.98,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PAED,FR,2015-01-01,11.8,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PAED,IT,2015-01-01,28.34,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PSY,DE,2015-01-01,27.25,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PSY,ES,2015-01-01,10.56,d,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PSY,FR,2015-01-01,22.59,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PSY,IT,2015-01-01,17.81,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SPEC,DE,2015-01-01,318.2,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SPEC,ES,2015-01-01,248.45,d,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SPEC,FR,2015-01-01,169.7,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SPEC,IT,2015-01-01,295.55,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_ANE,DE,2015-01-01,25.97,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_ANE,ES,2015-01-01,23.88,d,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_ANE,FR,2015-01-01,17.49,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_ANE,IT,2015-01-01,20.14,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_EME,DE,2015-01-01,0.0,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_EME,ES,2015-01-01,18.82,bd,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_EME,IT,2015-01-01,8.37,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN,DE,2016-01-01,95.97,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN,ES,2016-01-01,74.86,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN,FR,2016-01-01,140.65,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN,IT,2016-01-01,89.17,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN_PRAC,DE,2016-01-01,70.45,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN_PRAC,ES,2016-01-01,74.86,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN_PRAC,FR,2016-01-01,89.72,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN_PRAC,IT,2016-01-01,73.03,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,MED_INT,FR,2016-01-01,6.47,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,MED_INT,IT,2016-01-01,41.31,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PAED,DE,2016-01-01,16.8,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PAED,ES,2016-01-01,26.22,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PAED,FR,2016-01-01,11.9,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PAED,IT,2016-01-01,29.11,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PSY,DE,2016-01-01,27.37,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PSY,ES,2016-01-01,10.46,d,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PSY,FR,2016-01-01,22.71,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PSY,IT,2016-01-01,17.35,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SPEC,DE,2016-01-01,322.68,,
