comune,provincia,regione,CSX/M5S_perc_2025,CSX/M5S_voti_2025,CSX/M5S_voti_2020,CSX/M5S_perc_2020,CDX_perc_2025,CDX_voti_2025,CDX_voti_2020,CDX_perc_2020,margine_voti,vincitore,x,y,var_perc,var_perc_neg
Montesano Salentino,LECCE,PUGLIA,64.15,789,869,63.85,35.2,433,466,34.24,356,CSX/M5S,18.31554,39.983982,0.3,-0.3
Morciano Di Leuca,LECCE,PUGLIA,66.9,865,970,64.71,32.64,422,499,33.29,443,CSX/M5S,18.305124,39.846794,2.19,-2.19
Muro Leccese,LECCE,PUGLIA,47.17,1043,1496,58.44,51.92,1148,1034,40.39,105,CDX,18.339176,40.110718,-11.27,11.27
Nardo,LECCE,PUGLIA,41.98,6103,11466,71.4,57.46,8353,4201,26.16,2250,CDX,17.957143,40.232873,-29.42,29.42
Neviano,LECCE,PUGLIA,43.97,788,1626,55.76,55.08,987,1235,42.35,199,CDX,18.126179,40.097432,-11.79,11.79
Nociglia,LECCE,PUGLIA,45.99,459,568,48.84,53.01,529,579,49.79,70,CDX,18.321796,40.028195,-2.85,2.85
Novoli,LECCE,PUGLIA,52.28,1582,1837,46.3,46.17,1397,2063,51.99,185,CSX/M5S,18.042821,40.372567,5.98,-5.98
Ortelle,LECCE,PUGLIA,62.34,720,832,61.86,35.5,410,499,37.1,310,CSX/M5S,18.39981,40.025694,0.48,-0.48
Otranto,LECCE,PUGLIA,46.22,997,1073,36.24,53.08,1145,1819,61.43,148,CDX,18.458205,40.161804,9.98,-9.98
Palmariggi,LECCE,PUGLIA,34.64,221,274,35.08,64.58,412,500,64.02,191,CDX,18.381254,40.133075,-0.44,0.44
Parabita,LECCE,PUGLIA,66.78,2366,3271,71.06,32.23,1142,1191,25.87,1224,CSX/M5S,18.113125,40.056676,-4.28,4.28
Patu,LECCE,PUGLIA,68.01,574,765,74.85,31.4,265,233,22.8,309,CSX/M5S,18.319389,39.828822,-6.84,6.84
Poggiardo,LECCE,PUGLIA,57.22,1398,1615,52.85,42,1026,1386,45.35,372,CSX/M5S,18.385652,40.059501,4.37,-4.37
Porto Cesareo,LECCE,PUGLIA,26.28,790,1095,30.98,73.32,2204,2304,65.2,1414,CDX,17.835208,40.294191,-4.7,4.7
Presicceacquarica,LECCE,PUGLIA,44.35,1612,2928,55.85,54.36,1976,2104,40.13,364,CDX,18.245653,39.896689,-11.5,11.5
Racale,LECCE,PUGLIA,54.16,2120,3456,60.38,44.97,1760,2186,38.19,360,CSX/M5S,18.068464,39.961563,-6.22,6.22
Ruffano,LECCE,PUGLIA,41.08,1179,1860,51.44,58.08,1667,1703,47.1,488,CDX,18.246818,39.98558,-10.36,10.36
Salice Salentino,LECCE,PUGLIA,48.48,1611,2052,54.2,50.53,1679,1675,44.24,68,CDX,17.895632,40.379509,-5.72,5.72
Salve,LECCE,PUGLIA,56.2,1070,1377,64.29,42.8,815,721,33.66,255,CSX/M5S,18.256976,39.855707,-8.09,8.09
San Cassiano,LECCE,PUGLIA,55.09,536,538,48.42,44.09,429,562,50.59,107,CSX/M5S,18.323862,40.048304,6.67,-6.67
San Cesario Di Lecce,LECCE,PUGLIA,45.03,1501,1833,46.29,53.92,1797,2009,50.73,296,CDX,18.162257,40.305215,-1.26,1.26
San Donato Di Lecce,LECCE,PUGLIA,53.22,1363,1915,61.1,46.08,1180,1183,37.75,183,CSX/M5S,18.190568,40.260656,-7.88,7.88
San Pietro In Lama,LECCE,PUGLIA,51.42,690,996,51,48.06,645,885,45.31,45,CSX/M5S,18.105802,40.293742,0.42,-0.42
Sanarica,LECCE,PUGLIA,54.31,321,404,50.82,44.33,262,382,48.05,59,CSX/M5S,18.351705,40.084837,3.49,-3.49
Sannicola,LECCE,PUGLIA,52.44,1278,1558,59.06,47.07,1147,974,36.92,131,CSX/M5S,18.048876,40.096215,-6.62,6.62
Santa Cesarea Terme,LECCE,PUGLIA,66.87,971,806,49.78,32.16,467,792,48.92,504,CSX/M5S,18.444481,40.05304,17.09,-17.09
Scorrano,LECCE,PUGLIA,46.44,1355,2103,55.86,53.26,1554,1618,42.97,199,CDX,18.277639,40.075257,-9.42,9.42
Secli,LECCE,PUGLIA,38.49,296,420,43.17,61.12,470,532,54.68,174,CDX,18.105757,40.127363,-4.68,4.68
Sogliano Cavour,LECCE,PUGLIA,57.2,949,1273,53.35,41.65,691,1053,44.13,258,CSX/M5S,18.201888,40.148006,3.85,-3.85
Soleto,LECCE,PUGLIA,71.09,1709,1522,57.05,28.12,676,1071,40.14,1033,CSX/M5S,18.19762,40.199198,14.04,-14.04
Specchia,LECCE,PUGLIA,59.54,1045,1311,60.19,39.89,700,791,36.32,345,CSX/M5S,18.288681,39.942218,-0.65,0.65
Spongano,LECCE,PUGLIA,56.64,840,1056,55.49,42.55,631,803,42.2,209,CSX/M5S,18.358631,40.015196,1.15,-1.15
Squinzano,LECCE,PUGLIA,40.13,2445,3756,50.28,59.45,3622,3622,48.49,1177,CDX,18.031796,40.452937,-10.15,10.15
Sternatia,LECCE,PUGLIA,67.52,765,878,65.52,31.95,362,437,32.61,403,CSX/M5S,18.222168,40.226722,2,-2
Supersano,LECCE,PUGLIA,39.82,571,775,43.34,59.27,850,972,54.36,279,CDX,18.24629,40.033894,-3.52,3.52
Surano,LECCE,PUGLIA,59.47,452,487,57.29,39.47,300,347,40.82,152,CSX/M5S,18.335123,40.021359,2.18,-2.18
Surbo,LECCE,PUGLIA,58.57,3080,4670,60.97,40.58,2134,2840,37.08,946,CSX/M5S,18.133061,40.414132,-2.4,2.4
Taurisano,LECCE,PUGLIA,49.75,1810,2601,54.84,47.64,1733,1988,41.91,77,CSX/M5S,18.217834,39.95134,-5.09,5.09
Taviano,LECCE,PUGLIA,54.53,1968,2740,54.59,44.56,1608,2167,43.18,360,CSX/M5S,18.072022,39.989068,-0.06,0.06
Tiggiano,LECCE,PUGLIA,56.2,761,1090,67.83,42.91,581,503,31.3,180,CSX/M5S,18.368013,39.902906,-11.63,11.63
Trepuzzi,LECCE,PUGLIA,57.65,3464,4796,66.65,41.74,2508,2290,31.82,956,CSX/M5S,18.067428,40.413959,-9,9
Tricase,LECCE,PUGLIA,53.85,3773,5935,60.46,45.21,3168,3707,37.76,605,CSX/M5S,18.358838,39.941245,-6.61,6.61
Tuglie,LECCE,PUGLIA,53.72,1169,1439,49.2,45.36,987,1448,49.5,182,CSX/M5S,18.095128,40.077996,4.52,-4.52
Ugento,LECCE,PUGLIA,36.93,1504,2402,49.33,62.02,2526,2390,49.09,1022,CDX,18.162822,39.916322,-12.4,12.4
Uggiano La Chiesa,LECCE,PUGLIA,54.23,981,1389,53.9,44.72,809,1060,41.13,172,CSX/M5S,18.453478,40.109205,0.33,-0.33
Veglie,LECCE,PUGLIA,45.86,2303,3218,43.03,53.5,2687,4062,54.32,384,CDX,17.924236,40.34288,2.83,-2.83
Vernole,LECCE,PUGLIA,52.46,1502,1891,51.48,44.92,1286,1729,47.07,216,CSX/M5S,18.30936,40.32344,0.98,-0.98
Zollino,LECCE,PUGLIA,68.97,669,931,78.04,30,291,242,20.28,378,CSX/M5S,18.25062,40.206599,-9.07,9.07
Avetrana,TARANTO,PUGLIA,47.55,1008,1022,35.22,51.98,1102,1841,63.44,94,CDX,17.743875,40.354549,12.33,-12.33
Carosino,TARANTO,PUGLIA,71.84,1707,1881,63.53,27.15,645,927,31.31,1062,CSX/M5S,17.409214,40.471582,8.31,-8.31
Castellaneta,TARANTO,PUGLIA,62.95,4319,4393,54.88,36.36,2495,3439,42.96,1824,CSX/M5S,16.89591,40.583895,8.07,-8.07
Crispiano,TARANTO,PUGLIA,35.17,1817,2737,44.5,63.87,3300,3287,53.45,1483,CDX,17.254469,40.605788,-9.33,9.33
Faggiano,TARANTO,PUGLIA,50.96,610,898,57.53,48.04,575,624,39.97,35,CSX/M5S,17.379663999999998,40.414738,-6.57,6.57
Fragagnano,TARANTO,PUGLIA,76.73,1945,1197,47.84,22.68,575,1266,50.6,1370,CSX/M5S,17.477826,40.431306,28.89,-28.89
Ginosa,TARANTO,PUGLIA,48.71,3905,4439,45.3,50.77,4070,5194,53.01,165,CDX,16.798358,40.504476,3.41,-3.41
Grottaglie,TARANTO,PUGLIA,66.59,6003,6621,52.21,32.05,2889,5654,44.59,3114,CSX/M5S,17.414212,40.536643,14.38,-14.38
Laterza,TARANTO,PUGLIA,74.82,5220,5614,62.05,24.65,1720,3321,36.71,3500,CSX/M5S,16.78529,40.645061,12.77,-12.77
Leporano,TARANTO,PUGLIA,49.56,1360,2242,59.53,49.71,1364,1434,38.08,4,CDX,17.318322,40.381986,-9.97,9.97
Lizzano,TARANTO,PUGLIA,59.82,2175,2304,49.34,39.27,1428,2170,46.47,747,CSX/M5S,17.451685,40.374039,10.48,-10.48
Manduria,TARANTO,PUGLIA,52.04,6102,7475,47.14,47.23,5538,7923,49.97,564,CSX/M5S,17.640445,40.377272,4.9,-4.9
Martina Franca,TARANTO,PUGLIA,56.62,11261,12598,54.79,42.41,8435,9504,41.33,2826,CSX/M5S,17.303803,40.685938,1.83,-1.83
Maruggio,TARANTO,PUGLIA,45.18,952,900,32.14,53.92,1136,1781,63.61,184,CDX,17.552595,40.322439,13.04,-13.04
Massafra,TARANTO,PUGLIA,69.59,7168,7579,53.09,30.06,3096,6461,45.26,4072,CSX/M5S,17.115145,40.596403,16.5,-16.5
Monteiasi,TARANTO,PUGLIA,52.82,1076,1367,52.98,46.44,946,1174,45.5,130,CSX/M5S,17.380052,40.501236,-0.16,0.16
Montemesola,TARANTO,PUGLIA,53.95,621,1648,75.05,38.92,448,506,23.04,173,CSX/M5S,17.337281,40.564277,-21.1,21.1
Monteparano,TARANTO,PUGLIA,54.87,530,568,51.64,44.1,426,493,44.82,104,CSX/M5S,17.413014,40.449112,3.23,-3.23
Mottola,TARANTO,PUGLIA,64.54,4303,4432,55.06,35.04,2336,3485,43.3,1967,CSX/M5S,17.031964,40.678926,9.48,-9.48
Palagianello,TARANTO,PUGLIA,63.31,1836,1597,46.29,36.31,1053,1678,48.64,783,CSX/M5S,16.968966000000002,40.568758,17.02,-17.02
Palagiano,TARANTO,PUGLIA,64.27,3965,4159,56.33,35.4,2184,3118,42.23,1781,CSX/M5S,17.020821,40.552151,7.94,-7.94
Pulsano,TARANTO,PUGLIA,59.35,2356,2502,47.43,39.97,1587,2382,45.16,769,CSX/M5S,17.3666,40.371287,11.92,-11.92
Roccaforzata,TARANTO,PUGLIA,48.05,295,492,55.59,51.63,317,380,42.94,22,CDX,17.398965,40.436718,-7.54,7.54
San Giorgio Ionico,TARANTO,PUGLIA,60.34,2664,3754,59.56,38.87,1716,2365,37.52,948,CSX/M5S,17.367812,40.467946,0.78,-0.78
San Marzano Di San Giuseppe,TARANTO,PUGLIA,45.66,1390,2553,62.7,53.32,1623,1429,35.09,233,CDX,17.507075,40.453843,-17.04,17.04
Sava,TARANTO,PUGLIA,40.46,2538,2341,33.72,58.84,3691,3501,50.43,1153,CDX,17.536361,40.397564,6.74,-6.74
Statte,TARANTO,PUGLIA,54.77,1965,3614,64.04,44.04,1580,1910,33.85,385,CSX/M5S,17.223949,40.551365,-9.27,9.27
Taranto,TARANTO,PUGLIA,63.06,33283,49756,63.06,35.82,18908,27021,34.24,14375,CSX/M5S,17.275132,40.474329,0,-0
Torricella,TARANTO,PUGLIA,54.97,918,1181,48.01,44.37,741,1219,49.55,177,CSX/M5S,17.496432,40.347306,6.96,-6.96
