DATAFLOW,FREQ,REF_AREA,DATA_TYPE,TYPE_CRIME,Y_KNOWN_OFFENDER_IDEN,REFERENCE_PERIOD_CRIME,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_TYPE_CRIME,NOTE_Y_KNOWN_OFFENDER_IDEN,NOTE_REFERENCE_PERIOD_CRIME,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,STREETROB,9,YRDUR,2010,16873,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,STREETROB,9,YRDUR,2011,20657,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,STREETROB,9,YRDUR,2012,21210,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,STREETROB,9,YRDUR,2013,22311,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,STREETROB,9,YRDUR,2014,20528,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,STREETROB,9,YRDUR,2015,18466,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,STREETROB,9,YRDUR,2016,18020,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,STREETROB,9,YRDUR,2017,16910,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,STREETROB,9,YRDUR,2018,16042,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,STREETROB,9,YRDUR,2019,13307,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,STREETROB,9,YRDUR,2020,11082,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,STREETROB,9,YRDUR,2021,12862,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,STREETROB,9,YRDUR,2022,15121,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,STREETROB,9,YRDUR,2023,16561,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,STREETROB,9,YRDUR,2024,16550,,,,,,,,,,,
