DATAFLOW,LAST UPDATE,freq,unit,sector,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,NL,2018-01-01,42.4,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,NO,2018-01-01,47.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,PL,2018-01-01,41.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,PT,2018-01-01,43.3,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,RO,2018-01-01,34.6,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,SE,2018-01-01,50.9,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,SI,2018-01-01,44.1,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,SK,2018-01-01,39.7,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,AT,2019-01-01,49.1,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,BE,2019-01-01,51.8,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,BG,2019-01-01,36.5,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,CH,2019-01-01,33.2,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,CY,2019-01-01,40.3,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,CZ,2019-01-01,40.4,,
