"Regione","Regione_Cod","Provincia","Provincia_Cod","Comune_Cod","Comune","Cognome","Nome","Lista","Voti"
"VENETO",5,"PADOVA","PADOVA",200,"CAMPO SAN MARTINO","STEFANI","ALBERTO","NOI MODERATI CIVICI PER STEFANI",15
"VENETO",5,"PADOVA","PADOVA",200,"CAMPO SAN MARTINO","MANILDO","GIOVANNI","PARTITO DEMOCRATICO - MANILDO PRESIDENTE",249
"VENETO",5,"PADOVA","PADOVA",200,"CAMPO SAN MARTINO","MANILDO","GIOVANNI","ALLEANZA VERDI E SINISTRA",49
"VENETO",5,"PADOVA","PADOVA",200,"CAMPO SAN MARTINO","MANILDO","GIOVANNI","UNITI PER MANILDO PRESIDENTE",45
"VENETO",5,"PADOVA","PADOVA",200,"CAMPO SAN MARTINO","MANILDO","GIOVANNI","MOVIMENTO 5 STELLE",20
"VENETO",5,"PADOVA","PADOVA",200,"CAMPO SAN MARTINO","MANILDO","GIOVANNI","VOLT EUROPA - MANILDO PRESIDENTE",9
"VENETO",5,"PADOVA","PADOVA",200,"CAMPO SAN MARTINO","MANILDO","GIOVANNI","PACE SALUTE LAVORO - RIFONDAZIONE COMUNISTA",5
"VENETO",5,"PADOVA","PADOVA",200,"CAMPO SAN MARTINO","MANILDO","GIOVANNI","LE CIVICHE VENETE PER MANILDO PRESIDENTE",3
"VENETO",5,"PADOVA","PADOVA",200,"CAMPO SAN MARTINO","SZUMSKI","RICCARDO","SZUMSKI RESISTERE VENETO",224
"VENETO",5,"PADOVA","PADOVA",200,"CAMPO SAN MARTINO","RIZZO","MARCO","DEMOCRAZIA SOVRANA POPOLARE",11
"VENETO",5,"PADOVA","PADOVA",200,"CAMPO SAN MARTINO","BUI","FABIO","POPOLARI per il Veneto",10
"VENETO",5,"PADOVA","PADOVA",210,"CANDIANA","STEFANI","ALBERTO","LEGA - LIGA VENETA STEFANI PRESIDENTE",337
"VENETO",5,"PADOVA","PADOVA",210,"CANDIANA","STEFANI","ALBERTO","FRATELLI D'ITALIA - GIORGIA MELONI",226
"VENETO",5,"PADOVA","PADOVA",210,"CANDIANA","STEFANI","ALBERTO","FORZA ITALIA BERLUSCONI AUTONOMIA PER IL VENETO",76
"VENETO",5,"PADOVA","PADOVA",210,"CANDIANA","STEFANI","ALBERTO","LIGA VENETA REPUBBLICA V.A.",24
"VENETO",5,"PADOVA","PADOVA",210,"CANDIANA","STEFANI","ALBERTO","UNIONE DI CENTRO",18
"VENETO",5,"PADOVA","PADOVA",210,"CANDIANA","STEFANI","ALBERTO","NOI MODERATI CIVICI PER STEFANI",6
"VENETO",5,"PADOVA","PADOVA",210,"CANDIANA","MANILDO","GIOVANNI","PARTITO DEMOCRATICO - MANILDO PRESIDENTE",101
"VENETO",5,"PADOVA","PADOVA",210,"CANDIANA","MANILDO","GIOVANNI","UNITI PER MANILDO PRESIDENTE",10
"VENETO",5,"PADOVA","PADOVA",210,"CANDIANA","MANILDO","GIOVANNI","ALLEANZA VERDI E SINISTRA",9
"VENETO",5,"PADOVA","PADOVA",210,"CANDIANA","MANILDO","GIOVANNI","LE CIVICHE VENETE PER MANILDO PRESIDENTE",6
"VENETO",5,"PADOVA","PADOVA",210,"CANDIANA","MANILDO","GIOVANNI","MOVIMENTO 5 STELLE",6
"VENETO",5,"PADOVA","PADOVA",210,"CANDIANA","MANILDO","GIOVANNI","PACE SALUTE LAVORO - RIFONDAZIONE COMUNISTA",3
"VENETO",5,"PADOVA","PADOVA",210,"CANDIANA","MANILDO","GIOVANNI","VOLT EUROPA - MANILDO PRESIDENTE",0
"VENETO",5,"PADOVA","PADOVA",210,"CANDIANA","SZUMSKI","RICCARDO","SZUMSKI RESISTERE VENETO",35
"VENETO",5,"PADOVA","PADOVA",210,"CANDIANA","RIZZO","MARCO","DEMOCRAZIA SOVRANA POPOLARE",8
