anno,tempo_parziale,sesso,lavoratori,settimane_retribuite,settimane_utili,giornate_retribuite,somma_retribuzioni,stipendio_annuo,stipendio_settimanale,stipendio_settimanale_fte,stipendio_annuo_fte,somma_retribuzioni_reale,stipendio_annuo_reale,stipendio_settimanale_reale,stipendio_settimanale_fte_reale,stipendio_annuo_fte_reale,vista
2018,No,Femmine,3258651,140652744,140652744,799235433,77124205774,23667.52554170422,548.3306161023065,548.3306161023065,28513.19203731994,90418877876.0803,27747.334058197797,642.8518584470723,642.8518584470723,33428.29663924776,complessivo
2018,No,Maschi,7046867,320961585,320961585,1842289629,206427990862,29293.584065372597,643.1548213534651,643.1548213534651,33444.05071038019,242012051970.43484,34343.21266038295,754.0218620569027,754.0218620569027,39209.136826958944,complessivo
2018,Si,Femmine,3415570,141346167,87514286,774041211,37882414408,11091.095895560624,268.0116144076266,432.8712046853699,22509.302643639236,44412585745.71596,13002.979223296832,314.2114617491959,507.4895514283915,26389.45667427636,complessivo
2018,Si,Maschi,1993002,75475683,48689998,403766722,19956848035,10013.461117951712,264.41427545610946,409.87572098483145,21313.537491211235,23397009890.200783,11739.581741614298,309.9940134387493,480.530105797104,24987.565501449408,complessivo
2019,No,Femmine,3322348,143209067,143209067,814821168,79485307767,23924.43770700721,555.0298555258377,555.0298555258377,28861.552487343557,92732859061.49998,27911.84399150841,647.5348314468105,647.5348314468105,33671.81123523415,complessivo
2019,No,Maschi,7152728,325767761,325767761,1870794600,211596362085,29582.609891638545,649.5313146870908,649.5313146870908,33775.62836372872,246862422432.49997,34513.0448735783,757.7865338016059,757.7865338016059,39404.8997576835,complessivo
2019,Si,Femmine,3480025,143903615,89576862,789527268,39203645755,11265.334517711797,272.4298882623623,437.6537074384231,22757.992786798,45737586714.166664,13142.890270663762,317.8348696394226,510.5959920114936,26550.991584597665,complessivo
2019,Si,Maschi,2041952,77415725,50053523,415166569,20773912509,10173.555749106737,268.34228458107185,415.03397291335517,21581.76659149447,24236231260.499996,11869.14837395786,313.0659986779171,484.20630173224765,25178.727690076877,complessivo
2020,No,Femmine,3343467,139618033,139618033,759844344,75102806729,22462.553609471845,537.916235569656,537.916235569656,27971.644249622113,87876891157.97948,26283.163900818963,629.409319625492,629.409319625492,32729.284620525585,complessivo
2020,No,Maschi,7082250,316246022,316246022,1735885407,198054617159,27964.92882332592,626.2675366047766,626.2675366047766,32565.911903448385,231741326235.89737,32721.42698095907,732.7881146783164,732.7881146783164,38104.981963272454,complessivo
