anno,periodo,lavoratori,settimane_retribuite,settimane_utili,giornate_retribuite,somma_retribuzioni,stipendio_annuo,stipendio_settimanale,stipendio_settimanale_fte,stipendio_annuo_fte,somma_retribuzioni_reale,stipendio_annuo_reale,stipendio_settimanale_reale,stipendio_settimanale_fte_reale,stipendio_annuo_fte_reale,quota_lavoratori,quota_settimane_utili
2020,Oltre 3 e fino a 6 mesi,1797823,49624288,36606412,212312094,13230610250,7359.239619250616,266.61561874701357,361.428764173883,18794.295737041917,15480977975.806452,8610.957794958933,311.9637298535438,422.90345133542326,21990.97946944201,0.1146196814865762,0.06396512938438231
2020,Oltre 6 e meno di 12 mesi,6482118,311161764,268207405,1595773376,123411999016,19038.838696858034,396.61685108585516,460.1364343985954,23927.09458872696,144402896209.33725,22277.116246470254,464.07660874855196,538.400109457594,27996.80569179489,0.41326554422676887,0.4686589158935988
2020,Anno intero,5149671,267782724,250527123,1597913484,181290372940,35204.26313447985,677.0054850140369,723.6357116510694,37629.05700585561,212125685639.47217,41192.0850165908,792.1559780662778,846.7174455975857,44029.307171074455,0.3283157740114896,0.4377648330295813
2021,Fino a 3 mesi,2121658,21168071,15312111,77427809,4758832603,2242.9781816862096,224.81182168181502,310.78879998975975,16161.017599467506,5466720370.240883,2576.6265676376133,258.2531195327568,357.019379642747,18565.007741422847,0.13036559803921147,0.024991132716837634
2021,Oltre 3 e fino a 6 mesi,1658660,44267851,33948197,196860465,12781690066,7706.033826100587,288.73527350582253,376.50571151098245,19578.296998571088,14682997129.560461,8852.324846297892,331.6853381827923,432.51183942288486,22490.615649990013,0.10191661561086589,0.055407376339183356
2021,Oltre 6 e meno di 12 mesi,4627833,217035539,183187100,1124191126,82764705675,17884.1167507557,381.34171968490375,451.8042246151612,23493.819679988384,95076154215.9069,20544.422025580207,438.06721541538366,519.0111870099308,26988.581724516407,0.2843579015423778,0.29898249353812856
2021,Anno intero,7866526,409059034,380254352,2444042687,256577529740,32616.370903750907,627.238389606132,674.7523819004181,35087.12385882174,294744052877.9079,37468.13432993266,720.5416049506143,775.1234175957778,40306.417714980445,0.4833598848075449,0.6206189974058505
2022,Fino a 3 mesi,1960465,19535016,14381697,71942653,4596184561,2344.4359174991646,235.2792831600445,319.5856901310047,16618.455886812244,4885997264.2246895,2492.2644700235346,250.11483298629955,339.73718568988687,17666.333655874118,0.1154290096856118,0.021875247640831007
2022,Oltre 3 e fino a 6 mesi,1535518,40750724,31656298,182741526,12061826944,7855.216900094952,295.99049440201355,381.02455770412575,19813.27700061454,12822386191.801067,8350.528090065416,314.65419342736254,405.0500848772989,21062.604413619545,0.09040881734406443,0.04815074035713194
2022,Oltre 6 e meno di 12 mesi,4395600,205037397,174569008,1073695176,79950083151,18188.662105514606,389.929273004768,457.98555005250415,23815.248602730215,84991340614.34015,19335.54932531171,414.51628755480226,486.86385738263544,25316.92058389704,0.25880582156482024,0.26552779414099803
2022,Anno intero,9092579,472813770,436834560,2824437899,291619072223,32072.20660089948,616.7736447756164,667.5732621132357,34713.80962988826,310007130951.09326,34094.521581950874,655.6643452898871,709.667135656788,36902.69105415297,0.5353563514055035,0.664446217861039
2023,Fino a 3 mesi,1964939,19856530,14649417,72633149,4705017445,2394.4852461068767,236.95063764917637,321.1743815470609,16701.067840447166,4744655334.174389,2414.657826107777,238.94685195119135,323.88014718772695,16841.7676537618,0.11300256503657659,0.02163674905946626
2023,Oltre 3 e fino a 6 mesi,1526236,40576519,31453407,181634752,12284131418,8048.644782327242,302.7399027994491,390.5501053669639,20308.605479082125,12387620309.474304,8116.451393804304,305.2903653335641,393.8403337188339,20479.697353379364,0.0877729959307462,0.04645573774876225
2023,Oltre 6 e meno di 12 mesi,4386449,204340889,174203366,1070646243,81889695860,18668.790144374187,400.75041398102167,470.08101933001683,24444.213005160876,82579583777.9444,18826.06723067894,404.12657585112294,474.0412638062596,24650.1457179255,0.25226227806671164,0.2572931411165616
2023,Anno intero,9510822,494562249,456755644,2955823961,312713281820,32879.73235331289,632.3031781182311,684.6402139258513,35601.29112414427,315347766081.3311,33156.73094095664,637.630079366068,690.4080337567347,35901.217755350204,0.5469621609659656,0.6746143720752099
2024,Fino a 3 mesi,1973587,19906792,14832409,73686126,4958833763,2512.5995271553775,249.10260593469806,334.3242330359148,17384.86011786757,4958833763,2512.5995271553775,249.10260593469806,334.3242330359148,17384.86011786757,0.11130713312197472,0.02145402890208174
2024,Oltre 3 e fino a 6 mesi,1555960,41311330,32243075,186021801,12863430571,8267.198752538625,311.3777883936441,398.9517305964149,20745.489991013575,12863430571,8267.198752538625,311.3777883936441,398.9517305964149,20745.489991013575,0.0877536418979593,0.046637323912925355
2024,Oltre 6 e meno di 12 mesi,4564160,212632193,181542452,1116352772,89460761412,19600.706682500175,420.7300886559544,492.7814978063643,25624.637885930944,89460761412,19600.706682500175,420.7300886559544,492.7814978063643,25624.637885930944,0.2574112844835278,0.26258829649066356
2024,Anno intero,9637295,501138721,462739807,2995160875,326881350296,33918.37131643267,652.2771771531101,706.4042153952837,36733.01920055475,326881350296,33918.37131643267,652.2771771531101,706.4042153952837,36733.01920055475,0.5435279404965382,0.6693203506943293
