anno,classe_di_eta,sesso,periodo_retribuito_dal_datore_di_lavoro,numero_lavoratori_con_almeno_una_giornata_retribuita_nell_anno,numero_settimane_retribuite_nell_anno,numero_settimane_utili_nell_anno,numero_giornate_retribuite_nell_anno,somma_retribuzioni_nell_anno
2016,30  - 34,Maschi,Fino a 3 mesi,104298,982909,765044,3920573,254110093
2016,30  - 34,Maschi,Oltre 3 e fino a 6 mesi,85764,2238419,1828955,10232553,684851892
2016,30  - 34,Maschi,Oltre 6 e meno di 12 mesi,241306,11264835,9951399,58534472,4135063621
2016,30  - 34,Maschi,Anno intero,563459,29299841,27933310,175168780,15398080810
2016,35  - 39,Femmine,Fino a 3 mesi,95464,1040856,703323,3619389,213003572
2016,35  - 39,Femmine,Oltre 3 e fino a 6 mesi,92099,2545810,1888311,11227868,669389841
2016,35  - 39,Femmine,Oltre 6 e meno di 12 mesi,242027,11134227,8710653,57984345,3619302650
2016,35  - 39,Femmine,Anno intero,453021,23557083,20157576,140856713,10691163439
2016,35  - 39,Maschi,Fino a 3 mesi,95959,907431,725434,3577017,244025597
2016,35  - 39,Maschi,Oltre 3 e fino a 6 mesi,80621,2122850,1774638,9660874,675208951
2016,35  - 39,Maschi,Oltre 6 e meno di 12 mesi,253735,11988996,10814655,62275929,4711132592
2016,35  - 39,Maschi,Anno intero,670621,34872255,33579338,208494274,20715033410
2016,40  - 44,Femmine,Fino a 3 mesi,83915,863907,572899,3176862,180690276
2016,40  - 44,Femmine,Oltre 3 e fino a 6 mesi,80518,2199040,1597840,9864552,586797024
2016,40  - 44,Femmine,Oltre 6 e meno di 12 mesi,235642,10999672,8422082,57376133,3635853416
2016,40  - 44,Femmine,Anno intero,570509,29666409,25101079,177439807,14262566504
2016,40  - 44,Maschi,Fino a 3 mesi,94282,890027,726163,3486441,249140890
2016,40  - 44,Maschi,Oltre 3 e fino a 6 mesi,79455,2109260,1794658,9548342,701107244
2016,40  - 44,Maschi,Oltre 6 e meno di 12 mesi,272271,12963526,11875235,67408158,5419769767
2016,40  - 44,Maschi,Anno intero,802922,41751930,40479122,249670646,27564385593
2016,45  - 49,Femmine,Fino a 3 mesi,68516,686395,449346,2589369,143306432
2016,45  - 49,Femmine,Oltre 3 e fino a 6 mesi,65180,1776658,1270402,7984845,463357604
2016,45  - 49,Femmine,Oltre 6 e meno di 12 mesi,203175,9540527,7162139,49763361,3109866581
2016,45  - 49,Femmine,Anno intero,562563,29253243,24623722,175043765,14628242890
2016,45  - 49,Maschi,Fino a 3 mesi,85341,803974,664279,3145405,234184206
2016,45  - 49,Maschi,Oltre 3 e fino a 6 mesi,71434,1901278,1633109,8588827,655400047
2016,45  - 49,Maschi,Oltre 6 e meno di 12 mesi,255846,12244131,11330022,63682377,5382383485
2016,45  - 49,Maschi,Anno intero,791838,41175554,40043786,246267544,29583521016
2016,50  - 54,Femmine,Fino a 3 mesi,52176,533794,353334,1961727,110470163
2016,50  - 54,Femmine,Oltre 3 e fino a 6 mesi,50914,1406039,1002931,6249592,362515375
2016,50  - 54,Femmine,Oltre 6 e meno di 12 mesi,167190,7881434,5911453,41126663,2566332098
2016,50  - 54,Femmine,Anno intero,474186,24657644,20859518,147564829,12519566221
2016,50  - 54,Maschi,Fino a 3 mesi,72256,680181,571004,2641959,206501524
2016,50  - 54,Maschi,Oltre 3 e fino a 6 mesi,60013,1607003,1395592,7221338,571679703
2016,50  - 54,Maschi,Oltre 6 e meno di 12 mesi,223877,10751576,10008982,55949292,4916937426
2016,50  - 54,Maschi,Anno intero,727630,37836738,36870635,226328559,28728458091
2016,55  - 59,Femmine,Fino a 3 mesi,32371,344665,235071,1226004,73658443
2016,55  - 59,Femmine,Oltre 3 e fino a 6 mesi,33176,919046,669769,4085122,253945204
2016,55  - 59,Femmine,Oltre 6 e meno di 12 mesi,110229,5175615,3960221,27121706,1782753420
2016,55  - 59,Femmine,Anno intero,304013,15808667,13581356,94618122,8432283037
2016,55  - 59,Maschi,Fino a 3 mesi,54074,516259,440662,1973800,165235984
2016,55  - 59,Maschi,Oltre 3 e fino a 6 mesi,47048,1265886,1119981,5722329,496739763
2016,55  - 59,Maschi,Oltre 6 e meno di 12 mesi,167416,7966756,7459921,41652312,3855263760
2016,55  - 59,Maschi,Anno intero,535258,27833402,27146502,166536680,22160086345
