"COMUNE","PROVINCIA","VOTI_Altri","VOTI_CDX","VOTI_CSX/M5S","PCT_Altri","PCT_CDX","PCT_CSX/M5S","ELETTORI","VOTANTI","BIANCHE","VOTI_ESPRESSI","AFFLUENZA","VINCITORE","DIFF_VOTI","X","Y","COD_PROV","COD_REG"
"MARTANO","LECCE",255,2089,2842,4.92,40.28,54.8,9029,6104,758,5346,67.6,"CSX/M5S",753,18.291632,40.208127,75,16
"MARTIGNANO","LECCE",23,297,640,2.4,30.94,66.67,1485,1034,37,997,69.63,"CSX/M5S",343,18.258838,40.237904,75,16
"MARTINA FRANCA","TARANTO",893,9504,12598,3.88,41.33,54.79,41926,24434,746,23688,58.28,"CSX/M5S",3094,17.303803,40.685938,73,16
"MARUGGIO","TARANTO",119,1781,900,4.25,63.61,32.14,4820,3006,127,2879,62.37,"CDX",881,17.552595,40.322439,73,16
"MASSAFRA","TARANTO",236,6461,7579,1.65,45.26,53.09,26774,15209,507,14702,56.81,"CSX/M5S",1118,17.115145,40.596403,73,16
"MATINO","LECCE",97,1944,2714,2.04,40.88,57.08,11217,5177,236,4941,46.15,"CSX/M5S",770,18.120192,40.027377,75,16
"MATTINATA","FOGGIA",329,1820,1215,9.78,54.1,36.12,6018,3896,431,3465,64.74,"CDX",605,16.071385,41.737971,71,16
"MELENDUGNO","LECCE",163,1790,2725,3.48,38.26,58.25,9047,5137,255,4882,56.78,"CSX/M5S",935,18.378813,40.266964,75,16
"MELISSANO","LECCE",45,1245,1474,1.63,45.04,53.33,6575,3014,163,2851,45.84,"CSX/M5S",229,18.125043,39.978075,75,16
"MELPIGNANO","LECCE",20,456,1066,1.3,29.57,69.13,2456,1671,107,1564,68.04,"CSX/M5S",610,18.284187,40.149542,75,16
"MESAGNE","BRINDISI",392,3747,7645,3.33,31.8,64.88,25204,12781,592,12189,50.71,"CSX/M5S",3898,17.806043,40.538467,74,16
"MIGGIANO","LECCE",25,840,808,1.49,50.21,48.3,3221,1835,116,1719,56.97,"CDX",32,18.307339,39.966585,75,16
"MINERVINO DI LECCE","LECCE",25,1097,867,1.26,55.15,43.59,3550,2104,72,2032,59.27,"CDX",230,18.41523,40.087042,75,16
"MINERVINO MURGE","BARLETTA-ANDRIA-TRANI",67,2004,2225,1.56,46.65,51.79,8560,4732,199,4533,55.28,"CSX/M5S",221,16.07934,41.080826,110,16
"MODUGNO","BARI",496,4185,15464,2.46,20.77,76.76,31625,22193,1453,20740,70.18,"CSX/M5S",11279,16.784932,41.083734,72,16
"MOLA DI BARI","BARI",535,3314,6750,5.05,31.27,63.69,25981,11196,363,10833,43.09,"CSX/M5S",3436,17.07726,41.040035,72,16
"MOLFETTA","BARI",839,10330,14426,3.28,40.36,56.36,56227,27136,772,26364,48.26,"CSX/M5S",4096,16.570388,41.183263,72,16
"MONOPOLI","BARI",547,9354,11413,2.57,43.89,53.55,44536,22447,630,21817,50.4,"CSX/M5S",2059,17.278685,40.898609,72,16
"MONTE SANT'ANGELO","FOGGIA",220,1732,4062,3.66,28.8,67.54,11555,6371,181,6190,55.14,"CSX/M5S",2330,15.943302,41.73854,71,16
"MONTEIASI","TARANTO",39,1174,1367,1.51,45.5,52.98,4682,2772,116,2656,59.21,"CSX/M5S",193,17.380052,40.501236,73,16
"MONTELEONE DI PUGLIA","FOGGIA",9,254,356,1.45,41.03,57.51,1597,740,93,647,46.34,"CSX/M5S",102,15.251238,41.157682,71,16
"MONTEMESOLA","TARANTO",42,506,1648,1.91,23.04,75.05,3317,2420,175,2245,72.96,"CSX/M5S",1142,17.337281,40.564277,73,16
"MONTEPARANO","TARANTO",39,493,568,3.55,44.82,51.64,2105,1210,61,1149,57.48,"CSX/M5S",75,17.413014,40.449112,73,16
