anno,attivita_economica_ateco_2007,periodo_retribuito_dal_datore_di_lavoro,numero_lavoratori_con_almeno_una_giornata_retribuita_nell_anno,numero_settimane_retribuite_nell_anno,numero_settimane_utili_nell_anno,numero_giornate_retribuite_nell_anno,somma_retribuzioni_nell_anno
2015,Sanita' e assistenza sociale,Oltre 3 e fino a 6 mesi,59427,1604574,1072251,7179071,420303386
2015,Sanita' e assistenza sociale,Oltre 6 e meno di 12 mesi,181012,8523517,6431564,44333439,2531566750
2015,Sanita' e assistenza sociale,Anno intero,399778,20788405,18130098,124360609,8783600543
2015,Servizi di informazione e comunicazione,Fino a 3 mesi,82136,411084,352477,1511973,138966502
2015,Servizi di informazione e comunicazione,Oltre 3 e fino a 6 mesi,26705,679533,571382,3224789,291892462
2015,Servizi di informazione e comunicazione,Oltre 6 e meno di 12 mesi,76590,3545108,3083222,18897838,1711244765
2015,Servizi di informazione e comunicazione,Anno intero,326843,16995819,16041879,101591977,12443102295
2015,Trasporto e magazzinaggio,Fino a 3 mesi,81395,774883,631069,3039401,215817856
2015,Trasporto e magazzinaggio,Oltre 3 e fino a 6 mesi,77747,2093360,1782688,9397894,751285592
2015,Trasporto e magazzinaggio,Oltre 6 e meno di 12 mesi,265190,12571642,11369276,65274480,5198745059
2015,Trasporto e magazzinaggio,Anno intero,580721,30197136,29055207,180586754,18119630472
2016,Altre attivita' di servizi,Fino a 3 mesi,60125,638295,419896,2276829,106762577
2016,Altre attivita' di servizi,Oltre 3 e fino a 6 mesi,45785,1292777,864134,5421788,263780595
2016,Altre attivita' di servizi,Oltre 6 e meno di 12 mesi,122868,5776045,4334858,29595038,1566012780
2016,Altre attivita' di servizi,Anno intero,239595,12458832,10819085,74504143,5586671209
2016,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Fino a 3 mesi,71500,623695,423635,2346982,130438650
2016,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Oltre 3 e fino a 6 mesi,36151,880251,672333,4120069,291854850
2016,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Oltre 6 e meno di 12 mesi,36380,1616575,1273401,8451869,635471946
2016,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Anno intero,64481,3352932,2974403,20062885,1921962777
2016,Attivita' dei servizi di alloggio e di ristorazione,Fino a 3 mesi,332455,3640082,2407678,12804310,605845703
