anno,attivita_economica_ateco_2007,tipologia_contrattuale,numero_lavoratori_con_almeno_una_giornata_retribuita_nell_anno,numero_settimane_retribuite_nell_anno,numero_settimane_utili_nell_anno,numero_giornate_retribuite_nell_anno,somma_retribuzioni_nell_anno
2017,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Tempo determinato,1528,56693,52445,315503,28718293
2017,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Tempo indeterminato,79060,4021655,3969061,23887332,3761063896
2017,Istruzione,Stagionale,2399,54663,32481,267662,12157506
2017,Istruzione,Tempo determinato,344668,10988364,10085517,60557927,4152554385
2017,Istruzione,Tempo indeterminato,147090,6986001,5706466,39770941,2621750486
2017,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Stagionale,23703,502100,407136,2404346,143767385
2017,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Tempo determinato,805235,23142403,19017212,116816421,7317769834
2017,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Tempo indeterminato,885312,42416719,33861784,241710227,15941960091
2017,Sanita' e assistenza sociale,Stagionale,768,15073,9560,74010,3290699
2017,Sanita' e assistenza sociale,Tempo determinato,162246,5446391,4132272,29165470,1751350924
2017,Sanita' e assistenza sociale,Tempo indeterminato,612157,29732281,24733271,169571536,11461456552
2017,Servizi di informazione e comunicazione,Stagionale,7940,72246,67984,295369,37842580
2017,Servizi di informazione e comunicazione,Tempo determinato,80288,1401900,1225674,6946575,634471940
2017,Servizi di informazione e comunicazione,Tempo indeterminato,426846,21095466,19781817,123289721,14697871035
2017,Trasporto e magazzinaggio,Stagionale,9183,258621,230329,1314263,108596672
2017,Trasporto e magazzinaggio,Tempo determinato,215806,6921522,6079398,35438410,2732969754
2017,Trasporto e magazzinaggio,Tempo indeterminato,858651,42134952,39925975,242005668,23407548948
2018,Altre attivita' di servizi,Stagionale,9417,218749,177269,1081198,65140847
2018,Altre attivita' di servizi,Tempo determinato,102328,3097122,2247032,15742985,819817216
2018,Altre attivita' di servizi,Tempo indeterminato,372621,17396183,14257826,97530043,6770989822
2018,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Stagionale,47747,872212,677383,3955306,258915967
2018,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Tempo determinato,89703,1876208,1456689,9120129,865707072
2018,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Tempo indeterminato,101530,4471978,3766273,25320841,2107764308
2018,Attivita' dei servizi di alloggio e di ristorazione,Stagionale,278369,7060224,6036943,34037589,2322992142
2018,Attivita' dei servizi di alloggio e di ristorazione,Tempo determinato,616740,16115438,11372253,73040357,3443199828
2018,Attivita' dei servizi di alloggio e di ristorazione,Tempo indeterminato,814713,35694753,26137176,195069073,10869163445
2018,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Stagionale,458,10476,9146,53301,3551660
2018,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Tempo determinato,6970,104116,80025,530221,27406669
2018,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Tempo indeterminato,34823,1745534,1485707,10180985,584155550
