paese,data,indice_1991_100
Italia,1992-02-01,101.16
Italia,1992-03-01,101
Italia,1992-04-01,101.01
Italia,1992-05-01,100.9
Italia,1992-06-01,100.96
Italia,1992-07-01,100.71
Italia,1992-08-01,100.18
Italia,1992-09-01,99.52
Italia,1992-10-01,98.92
Italia,1992-11-01,98.48
Italia,1992-12-01,97.79
Italia,1993-01-01,97.58
Italia,1993-02-01,97.61
Italia,1993-03-01,97.72
Italia,1993-04-01,97.69
Italia,1993-05-01,97.46
Italia,1993-06-01,97.45
Italia,1993-07-01,97.06
Italia,1993-08-01,96.73
Italia,1993-09-01,96.53
Italia,1993-10-01,96.36
Italia,1993-11-01,96.41
Italia,1993-12-01,96.49
Italia,1994-01-01,96.71
Italia,1994-02-01,97.21
Italia,1994-03-01,97.83
Italia,1994-04-01,98.76
Italia,1994-05-01,99.63
Italia,1994-06-01,100.67
Italia,1994-07-01,101.72
Italia,1994-08-01,102.54
Italia,1994-09-01,103.24
Italia,1994-10-01,103.61
Italia,1994-11-01,104.2
Italia,1994-12-01,105.06
Italia,1995-01-01,105.83
Italia,1995-02-01,106.42
Italia,1995-03-01,106.98
Italia,1995-04-01,107.58
Italia,1995-05-01,108.01
Italia,1995-06-01,107.99
Italia,1995-07-01,108.01
Italia,1995-08-01,108.43
Italia,1995-09-01,108.7
Italia,1995-10-01,109.1
Italia,1995-11-01,109.37
Italia,1995-12-01,110
Italia,1996-01-01,110.35
Italia,1996-02-01,110.21
Italia,1996-03-01,109.95
Italia,1996-04-01,109.4
Italia,1996-05-01,108.83
Italia,1996-06-01,108.01
Italia,1996-07-01,107.43
Italia,1996-08-01,107.14
Italia,1996-09-01,106.79
Italia,1996-10-01,106.71
Italia,1996-11-01,106.6
Italia,1996-12-01,106.34
Italia,1997-01-01,106.24
Italia,1997-02-01,106.39
Italia,1997-03-01,106.88
Italia,1997-04-01,107.59
Italia,1997-05-01,108.31
Italia,1997-06-01,109.29
Italia,1997-07-01,110.26
Italia,1997-08-01,111.01
Italia,1997-09-01,111.67
Italia,1997-10-01,112.25
Italia,1997-11-01,112.77
Italia,1997-12-01,113.26
Italia,1998-01-01,113.46
Italia,1998-02-01,113.56
Italia,1998-03-01,113.56
Italia,1998-04-01,113.48
Italia,1998-05-01,113.48
Italia,1998-06-01,113.34
Italia,1998-07-01,113.3
Italia,1998-08-01,112.98
Italia,1998-09-01,113.05
Italia,1998-10-01,112.86
Italia,1998-11-01,112.63
Italia,1998-12-01,111.97
Italia,1999-01-01,111.72
Italia,1999-02-01,111.67
Italia,1999-03-01,111.36
Italia,1999-04-01,111.04
Italia,1999-05-01,110.66
Italia,1999-06-01,110.99
Italia,1999-07-01,111.14
Italia,1999-08-01,111.47
Italia,1999-09-01,111.84
Italia,1999-10-01,112.53
Italia,1999-11-01,113.45
Italia,1999-12-01,113.9
Italia,2000-01-01,114.2
Italia,2000-02-01,114.51
Italia,2000-03-01,114.91
Italia,2000-04-01,115.26
Italia,2000-05-01,115.62
Italia,2000-06-01,116.13
Italia,2000-07-01,116.5
Italia,2000-08-01,116.92
Italia,2000-09-01,117.16
Italia,2000-10-01,117.33
Italia,2000-11-01,117.65
Italia,2000-12-01,118.25
Italia,2001-01-01,118.44
Italia,2001-02-01,118.36
Italia,2001-03-01,118.33
Italia,2001-04-01,117.96
Italia,2001-05-01,117.35
Italia,2001-06-01,116.55
Italia,2001-07-01,115.89
Italia,2001-08-01,115.66
Italia,2001-09-01,115.15
Italia,2001-10-01,114.75
Italia,2001-11-01,114.06
Italia,2001-12-01,113.59
Italia,2002-01-01,113.37
Italia,2002-02-01,113.03
Italia,2002-03-01,113.08
Italia,2002-04-01,112.69
Italia,2002-05-01,113.24
Italia,2002-06-01,113.34
Italia,2002-07-01,113.46
Italia,2002-08-01,113.14
Italia,2002-09-01,113.1
Italia,2002-10-01,113.37
Italia,2002-11-01,113.34
Italia,2002-12-01,113.29
Italia,2003-01-01,113.55
Italia,2003-02-01,113.67
Italia,2003-03-01,113.42
Italia,2003-04-01,113.67
Italia,2003-05-01,112.94
Italia,2003-06-01,112.63
Italia,2003-07-01,112.41
Italia,2003-08-01,112.05
Italia,2003-09-01,111.81
Italia,2003-10-01,111.54
Italia,2003-11-01,112.15
Italia,2003-12-01,112.52
Italia,2004-01-01,112.63
Italia,2004-02-01,113.14
Italia,2004-03-01,113.21
Italia,2004-04-01,113.4
Italia,2004-05-01,113.3
Italia,2004-06-01,113.1
Italia,2004-07-01,112.92
Italia,2004-08-01,112.39
Italia,2004-09-01,112.47
Italia,2004-10-01,112.39
Italia,2004-11-01,112.05
Italia,2004-12-01,111.67
Italia,2005-01-01,111.25
Italia,2005-02-01,111.38
Italia,2005-03-01,111.19
Italia,2005-04-01,111.27
Italia,2005-05-01,111.17
Italia,2005-06-01,111.23
Italia,2005-07-01,111.54
Italia,2005-08-01,111.64
Italia,2005-09-01,111.83
Italia,2005-10-01,111.59
Italia,2005-11-01,112.02
Italia,2005-12-01,112.16
Italia,2006-01-01,112.12
Italia,2006-02-01,112.57
Italia,2006-03-01,113.05
Italia,2006-04-01,113.32
Italia,2006-05-01,113.87
Italia,2006-06-01,114.73
Italia,2006-07-01,115.25
Italia,2006-08-01,115.66
Italia,2006-09-01,115.94
Italia,2006-10-01,116.42
Italia,2006-11-01,116.43
Italia,2006-12-01,116.75
Italia,2007-01-01,117.16
Italia,2007-02-01,117.41
Italia,2007-03-01,117.86
Italia,2007-04-01,117.89
Italia,2007-05-01,118.33
Italia,2007-06-01,118.31
Italia,2007-07-01,118.36
Italia,2007-08-01,119.05
Italia,2007-09-01,119.05
Italia,2007-10-01,119.24
Italia,2007-11-01,118.78
Italia,2007-12-01,118.55
Italia,2008-01-01,118.91
Italia,2008-02-01,118.33
Italia,2008-03-01,118.39
Italia,2008-04-01,118.87
Italia,2008-05-01,118.87
Italia,2008-06-01,118.95
Italia,2008-07-01,117.97
Italia,2008-08-01,116.72
Italia,2008-09-01,115.23
Italia,2008-10-01,113.13
Italia,2008-11-01,111.14
Italia,2008-12-01,108.17
Italia,2009-01-01,105.23
Italia,2009-02-01,102.1
Italia,2009-03-01,98.52
Italia,2009-04-01,95.41
Italia,2009-05-01,93.16
Italia,2009-06-01,91.57
Italia,2009-07-01,90.93
Italia,2009-08-01,90.56
Italia,2009-09-01,91.24
Italia,2009-10-01,92.12
Italia,2009-11-01,92.78
Italia,2009-12-01,93.31
Italia,2010-01-01,94
Italia,2010-02-01,94.91
Italia,2010-03-01,95.44
Italia,2010-04-01,95.83
Italia,2010-05-01,96.26
Italia,2010-06-01,97.32
Italia,2010-07-01,97.85
Italia,2010-08-01,99.1
Italia,2010-09-01,99.55
Italia,2010-10-01,99.9
Italia,2010-11-01,100.3
Italia,2010-12-01,100.45
Italia,2011-01-01,100.26
Italia,2011-02-01,99.9
Italia,2011-03-01,100.34
Italia,2011-04-01,100.88
Italia,2011-05-01,101
Italia,2011-06-01,100.85
Italia,2011-07-01,101
Italia,2011-08-01,100.55
Italia,2011-09-01,100.02
Italia,2011-10-01,99.1
Italia,2011-11-01,98.64
Italia,2011-12-01,98.46
